gene_id,trimmed.AST-1065_R1_001.fastq.gz.bam.gtf,trimmed.AST-1105_R1_001.fastq.gz.bam.gtf,trimmed.AST-1147_R1_001.fastq.gz.bam.gtf,trimmed.AST-1412_R1_001.fastq.gz.bam.gtf,trimmed.AST-1560_R1_001.fastq.gz.bam.gtf,trimmed.AST-1567_R1_001.fastq.gz.bam.gtf,trimmed.AST-1617_R1_001.fastq.gz.bam.gtf,trimmed.AST-1722_R1_001.fastq.gz.bam.gtf,trimmed.AST-2000_R1_001.fastq.gz.bam.gtf,trimmed.AST-2007_R1_001.fastq.gz.bam.gtf,trimmed.AST-2302_R1_001.fastq.gz.bam.gtf,trimmed.AST-2360_R1_001.fastq.gz.bam.gtf,trimmed.AST-2398_R1_001.fastq.gz.bam.gtf,trimmed.AST-2404_R1_001.fastq.gz.bam.gtf,trimmed.AST-2412_R1_001.fastq.gz.bam.gtf,trimmed.AST-2512_R1_001.fastq.gz.bam.gtf,trimmed.AST-2523_R1_001.fastq.gz.bam.gtf,trimmed.AST-2563_R1_001.fastq.gz.bam.gtf,trimmed.AST-2729_R1_001.fastq.gz.bam.gtf,trimmed.AST-2755_R1_001.fastq.gz.bam.gtf
evm.TU.chromosome_13.1606,21,0,56,10,3,0,19,69,0,14,32,2,6,20,23,6,34,20,0,4
evm.TU.chromosome_13.1607,174,0,237,0,4,23,77,56,0,114,131,0,13,36,112,19,117,61,8,5
evm.TU.chromosome_13.1604,106,0,475,49,4,97,237,172,96,131,100,76,282,189,85,39,106,65,0,17
evm.TU.chromosome_13.1605,287,0,340,237,11,90,355,344,46,222,380,84,299,216,176,59,245,246,27,22
evm.TU.chromosome_14.1869,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,0
evm.TU.chromosome_14.1868,3,0,0,1,0,5,0,5,3,0,0,0,2,0,0,0,0,2,0,0
evm.TU.chromosome_14.1867,7,0,45,23,0,0,4,37,16,0,166,122,28,13,221,4,4,22,4,4
evm.TU.chromosome_14.1866,7,0,10,0,0,0,15,5,0,0,106,11,22,24,47,0,0,0,0,0
evm.TU.chromosome_14.1865,2,0,1,1,0,1,1,4,1,4,6,7,10,2,5,0,5,2,1,1
evm.TU.chromosome_14.1864,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,4,0,0
evm.TU.chromosome_14.1863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
evm.TU.chromosome_14.1862,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0
evm.TU.chromosome_14.1861,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thr_265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Thr_266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thr_261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thr_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thr_268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.4333,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
