#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	13	42	13	2.7	4.2	99	99	99	999	1034.3	0.9	6.9	999	99	99
2021	1	1	13	48	30	3.2	5.1	99	99	99	999	1034.2	0.8	6.9	999	99	99
2021	1	1	13	54	31	3.6	4.5	99	99	99	999	1034.2	0.9	6.9	999	99	99
2021	1	1	14	0	17	2.9	4.2	99	99	99	999	1034.3	1	7.1	999	99	99
2021	1	1	14	6	999	99	99	99	99	99	999	1034.1	1	7.2	999	99	99
2021	1	1	14	12	999	99	99	99	99	99	999	1034.3	0.9	7.2	999	99	99
2021	1	1	14	18	999	99	99	99	99	99	999	1034.2	0.9	7.2	999	99	99
2021	1	1	14	24	22	3.1	4	99	99	99	999	1034.2	1	7.2	999	99	99
2021	1	1	14	30	6	2.6	4.2	99	99	99	999	1034.2	1.3	7.3	999	99	99
2021	1	1	14	36	27	3.4	4.9	99	99	99	999	1034.1	1.1	7.1	999	99	99
2021	1	1	14	42	23	3.5	4.6	99	99	99	999	1034	1.2	7.2	999	99	99
2021	1	1	14	48	26	3.6	4.4	99	99	99	999	1033.9	1.3	7.2	999	99	99
2021	1	1	14	54	29	3.8	5.6	99	99	99	999	1033.8	1.3	7.2	999	99	99
2021	1	1	15	0	5	3.2	4.7	99	99	99	999	1033.6	1.4	7.3	999	99	99
2021	1	1	15	6	13	3.3	4.7	99	99	99	999	1033.6	1.5	7.3	999	99	99
2021	1	1	15	12	2	3.3	4.2	99	99	99	999	1033.5	1.6	7.2	999	99	99
2021	1	1	15	18	3	2.9	4.8	99	99	99	999	1033.4	1.6	6.7	999	99	99
2021	1	1	15	24	351	3.1	4.4	99	99	99	999	9999	1.6	6.5	999	99	99
2021	1	1	15	30	5	3.7	4.6	99	99	99	999	9999	1.6	6.4	999	99	99
2021	1	1	15	36	6	4.9	6	99	99	99	999	1032.8	1.5	6.3	999	99	99
2021	1	1	15	42	5	4.5	6	99	99	99	999	1032.8	1.6	6.3	999	99	99
2021	1	1	15	48	4	4.6	6.3	99	99	99	999	1032.8	1.6	6.3	999	99	99
2021	1	1	15	54	4	5.2	6.7	99	99	99	999	1032.6	1.5	6.3	999	99	99
2021	1	1	16	0	2	5.2	7.1	99	99	99	999	1032.4	1.4	6.3	999	99	99
2021	1	1	16	6	15	4.5	6.1	99	99	99	999	1032.4	1.7	6.3	999	99	99
2021	1	1	16	12	8	4.9	6.6	99	99	99	999	1032.2	1.6	6.3	999	99	99
2021	1	1	16	18	11	3.9	6	99	99	99	999	1032.2	1.8	6.3	999	99	99
2021	1	1	16	24	999	99	99	99	99	99	999	1032.2	1.8	6.2	999	99	99
2021	1	1	16	30	999	99	99	99	99	99	999	1032.1	1.9	6.2	999	99	99
2021	1	1	16	36	8	3.5	5.8	99	99	99	999	1032.1	1.9	6.2	999	99	99
2021	1	1	16	42	11	4.1	5.6	99	99	99	999	1032	1.9	6.2	999	99	99
2021	1	1	16	48	2	3.4	4.7	99	99	99	999	1031.8	2	6.2	999	99	99
