"","Group.1","x"
"202","4-26",9.27550363131809
"203","4-27",9.30257298697735
"204","4-28",9.3729440936797
"205","4-29",9.67117438403015
"206","4-3",5.69342190170172
"207","4-30",9.79444329508811
"208","4-4",5.82106274448488
"209","4-5",5.82817433225376
"210","4-6",6.0606609316004
"211","4-7",6.32015323203872
"212","4-8",6.27747743996794
"213","4-9",6.42137918789558
"214","5-1",9.95603175453008
"215","5-10",11.192315089264
"216","5-11",11.4353045574714
"217","5-12",11.4278902746006
"218","5-13",11.4009272855855
"219","5-14",11.6203689795838
"220","5-15",11.7799349759754
"221","5-16",11.8715759484013
"222","5-17",12.0496418146054
"223","5-18",12.2895181107027
"224","5-19",12.4626462834192
"225","5-2",10.0650785542809
"226","5-20",12.8048029286038
"227","5-21",12.9811103617818
"228","5-22",13.0593744763271
"229","5-23",12.9690969988804
"230","5-24",13.2752563919161
"231","5-25",13.3611715305543
"232","5-26",13.910898253685
"233","5-27",14.0803335266664
"234","5-28",14.2463775434879
"235","5-29",14.2907665301345
"236","5-3",10.1977894463443
"237","5-30",14.6876573554206
"238","5-31",15.0507315378774
"239","5-4",10.3042739306732
"240","5-5",10.5398080349544
"241","5-6",10.6072499551928
"242","5-7",10.9290425491741
"243","5-8",11.3452497030413
"244","5-9",11.0984035674303
"245","6-1",15.1914450753437
"246","6-10",16.2861045184841
"247","6-11",16.3579441052479
"248","6-12",16.4816198904496
"249","6-13",16.6691952044895
"250","6-14",16.5971396660638
"251","6-15",16.5640470258729
"252","6-16",17.0855917199883
"253","6-17",17.2299277264961
"254","6-18",17.3723562656208
"255","6-19",17.4580939308998
"256","6-2",15.2247895390097
"257","6-20",17.6879773755726
"258","6-21",17.8540689854789
"259","6-22",18.0079807600324
"260","6-23",18.1755815561555
"261","6-24",18.3111590506878
"262","6-25",18.7142612200011
"263","6-26",18.9095562316805
"264","6-27",18.8652119787146
"265","6-28",19.1261072082004
"266","6-29",19.0629576049299
"267","6-3",15.2480911893302
"268","6-30",19.3000305053111
"269","6-4",15.0960128332026
"270","6-5",15.3207523253394
"271","6-6",15.3713048806464
"272","6-7",15.702313033855
"273","6-8",16.0749680359238
"274","6-9",16.2901007969423
"275","7-1",19.629143877685
"276","7-10",20.2245744079515
"277","7-11",20.3579562690819
"278","7-12",20.4313530718149
"279","7-13",20.5510327445801
"280","7-14",20.441523295866
"281","7-15",20.4579804527211
"282","7-16",20.7545984212998
"283","7-17",21.1104538837465
"284","7-18",21.2991093667458
"285","7-19",21.0581108821229
"286","7-2",19.6471533414164
"287","7-20",21.1363462839808
"288","7-21",21.1737791809339
"289","7-22",21.1229540573865
"290","7-23",21.066962852247
"291","7-24",20.9785374906992
"292","7-25",21.1048859030758
"293","7-26",21.1967224372781
"294","7-27",21.4136275415195
"295","7-28",21.4307106163941
"296","7-29",21.3390182861429
"297","7-3",19.8426911680146
"298","7-30",21.2395222652186
"299","7-31",21.5039520532549
"300","7-4",20.463158744757
"301","7-5",20.1428359391561
"302","7-6",20.2583278275508
"303","7-7",20.3033194577247
"304","7-8",20.2149534251319
"305","7-9",20.0400162094599
"306","8-1",21.609652029634
"307","8-10",21.3913959454507
"308","8-11",21.2224407969954
"309","8-12",21.2856559246926
"310","8-13",21.4019581342361
"311","8-14",21.2984988059075
"312","8-15",21.2823859813955
"313","8-16",21.1068529060072
"314","8-17",21.3702476453443
"315","8-18",21.3157150085894
"316","8-19",21.2965540920617
"317","8-2",21.7632664015564
"318","8-20",21.2147393793292
"319","8-21",21.1433049856187
"320","8-22",21.1662454002143
"321","8-23",20.9199950052625
"322","8-24",20.841777780924
"323","8-25",20.9997065642457
"324","8-26",21.5248673767589
"325","8-27",21.0988010750518
"326","8-28",21.0080864999705
"327","8-29",20.7575972305244
"328","8-3",21.8105063555819
"329","8-30",20.5210821836951
"330","8-31",20.7510165139799
"331","8-4",21.8457552180172
