Serial Number:20937870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-12-25 04:10:00,10.21,289, , , , 
2020-12-25 04:20:00,10.29,295, , , , 
2020-12-25 04:30:00,10.29,307, , , , 
2020-12-25 04:40:00,10.34,316, , , , 
2020-12-25 04:50:00,10.46,328, , , , 
2020-12-25 05:00:00,10.46,333, , , , 
2020-12-25 05:10:00,10.51,336, , , , 
2020-12-25 05:20:00,10.55,334, , , , 
2020-12-25 05:30:00,10.68,336, , , , 
2020-12-25 05:40:00,10.64,333, , , , 
2020-12-25 05:50:00,10.68,335, , , , 
2020-12-25 06:00:00,10.68,330, , , , 
2020-12-25 06:10:00,10.72,331, , , , 
2020-12-25 06:20:00,10.68,332, , , , 
2020-12-25 06:30:00,10.68,328, , , , 
2020-12-25 06:40:00,10.81,329, , , , 
2020-12-25 06:50:00,10.77,326, , , , 
2020-12-25 07:00:00,10.81,324, , , , 
2020-12-25 07:10:00,10.85,325, , , , 
2020-12-25 07:20:00,10.85,324, , , , 
2020-12-25 07:30:00,10.81,324, , , , 
2020-12-25 07:40:00,10.89,323, , , , 
2020-12-25 07:50:00,10.94,320, , , , 
2020-12-25 08:00:00,10.94,320, , , , 
2020-12-25 08:10:00,11.02,342, , , , 
2020-12-25 08:20:00,11.11,340, , , , 
2020-12-25 08:30:00,11.02,336, , , , 
2020-12-25 08:40:00,10.98,335, , , , 
2020-12-25 08:50:00,10.85,337, , , , 
2020-12-25 09:00:00,10.89,336, , , , 
2020-12-25 09:10:00,10.85,325, , , , 
2020-12-25 09:20:00,10.81,313, , , , 
2020-12-25 09:30:00,10.81,302, , , , 
2020-12-25 09:40:00,10.68,292, , , , 
2020-12-25 09:50:00,10.64,280, , , , 
2020-12-25 10:00:00,10.64,268, , , , 
2020-12-25 10:10:00,10.55,256, , , , 
2020-12-25 10:20:00,10.51,241, , , , 
2020-12-25 10:30:00,10.55,229, , , , 
2020-12-25 10:40:00,10.46,218, , , , 
2020-12-25 10:50:00,10.46,205, , , , 
2020-12-25 11:00:00,10.46,190, , , , 
2020-12-25 11:10:00,10.46,176, , , , 
2020-12-25 11:20:00,10.46,162, , , , 
2020-12-25 11:30:00,10.46,148, , , , 
2020-12-25 11:40:00,10.51,134, , , , 
2020-12-25 11:50:00,10.51,119, , , , 
2020-12-25 12:00:00,10.42,102, , , , 
2020-12-25 12:10:00,10.42,85, , , , 
