Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank6,1/28/21,20210128,20210126,8.3,-51.5,30.55,100.2,NA,Acclimation,
Tank7,1/28/21,20210128,20210126,8.22,-55.1,30.75,94.2,NA,Acclimation,
Tank8,1/28/21,20210128,20210126,8.32,-55,30.9,105.4,NA,Acclimation,Installed chiller
Tank9,1/28/21,20210128,20210126,8.18,-55.7,30.95,86.8,NA,Acclimation,
Tank10,1/28/21,20210128,20210126,7.17,-53.3,30.62,110.4,NA,Acclimation,Installed chiller
Tank11,1/28/21,20210128,20210126,8.35,-53.6,30.92,94.6,NA,Acclimation,
Tank12,1/28/21,20210128,20210126,6.38,-53.9,30.62,105.6,NA,Acclimation,Installed chiller
Tank15,1/28/21,20210128,20210126,7.87,-54.4,30.98,94.6,NA,Acclimation,
Tank16,1/28/21,20210128,20210126,6.43,-53.5,30.64,116,NA,Acclimation,Installed chiller
Tank17,1/28/21,20210128,20210126,7.06,-52.4,31,108.6,NA,Acclimation,
Tank18,1/28/21,20210128,20210126,7.25,-53.7,30.75,91,NA,Acclimation,Installed chiller
Tank1,1/29/21,20210129,20210126,6.41,-49,31.03,NA,NA,Acclimation,
Tank2,1/29/21,20210129,20210126,6.58,-50.2,31.7,NA,NA,Acclimation,
Tank3,1/29/21,20210129,20210126,8.56,-50.7,31.93,NA,NA,Acclimation,
Tank4,1/29/21,20210129,20210126,8.31,-51.2,31.78,NA,NA,Acclimation,
Tank5,1/29/21,20210129,20210126,7.78,-52.7,31.8,NA,NA,Acclimation,
Tank6,1/29/21,20210129,20210126,8.45,-49.4,31.87,NA,NA,Acclimation,
Tank7,1/29/21,20210129,20210126,8.15,-51.8,31.89,NA,NA,Acclimation,
Tank8,1/29/21,20210129,20210126,6.89,-51,31.66,NA,NA,Acclimation,
Tank9,1/29/21,20210129,20210126,8.29,-51.4,31.83,NA,NA,Acclimation,
Tank10,1/29/21,20210129,20210126,7.56,-50.4,31.79,NA,NA,Acclimation,
Tank11,1/29/21,20210129,20210126,8.34,-51.1,31.96,NA,NA,Acclimation,
Tank12,1/29/21,20210129,20210126,6.89,-50.7,31.67,NA,NA,Acclimation,
Tank15,1/29/21,20210129,20210126,7.79,-52.2,31.83,NA,NA,Acclimation,
