"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"93","Cluster_137_evm.TU.chromosome_14.5347","Cluster_137","evm.TU.chromosome_14.5347","TP5",-0.4,0.6,"1"
"94","Cluster_137_evm.TU.chromosome_14.5803","Cluster_137","evm.TU.chromosome_14.5803","TP5",-0.2,0.8,"1"
"95","Cluster_137_evm.TU.chromosome_14.6697","Cluster_137","evm.TU.chromosome_14.6697","TP5",-0.4,0.2,"1"
"96","Cluster_137_evm.TU.chromosome_2.1034","Cluster_137","evm.TU.chromosome_2.1034","TP5",-0.4,-0.105409255338946,"1"
"97","Cluster_137_evm.TU.chromosome_2.1098","Cluster_137","evm.TU.chromosome_2.1098","TP5",-0.6,0.8,"1"
"98","Cluster_137_evm.TU.chromosome_2.1183","Cluster_137","evm.TU.chromosome_2.1183","TP5",-0.258198889747161,-0.210818510677892,"3"
"99","Cluster_137_evm.TU.chromosome_2.1208","Cluster_137","evm.TU.chromosome_2.1208","TP5",-0.948683298050514,0.4,"1"
"100","Cluster_137_evm.TU.chromosome_2.1823","Cluster_137","evm.TU.chromosome_2.1823","TP5",1,0.8,"2"
"101","Cluster_137_evm.TU.chromosome_2.1987","Cluster_137","evm.TU.chromosome_2.1987","TP5",-0.948683298050514,0.2,"1"
"102","Cluster_137_evm.TU.chromosome_2.255","Cluster_137","evm.TU.chromosome_2.255","TP5",-0.4,0.8,"1"
"103","Cluster_137_evm.TU.chromosome_2.334","Cluster_137","evm.TU.chromosome_2.334","TP5",-0.4,-0.8,"3"
"104","Cluster_137_evm.TU.chromosome_2.591","Cluster_137","evm.TU.chromosome_2.591","TP5",-0.4,-0.2,"3"
"105","Cluster_137_evm.TU.chromosome_2.678","Cluster_137","evm.TU.chromosome_2.678","TP5",-0.4,0.8,"1"
"106","Cluster_137_evm.TU.chromosome_3.1035","Cluster_137","evm.TU.chromosome_3.1035","TP5",-0.4,0.4,"1"
"107","Cluster_137_evm.TU.chromosome_3.504","Cluster_137","evm.TU.chromosome_3.504","TP5",-0.4,0.2,"1"
"108","Cluster_137_evm.TU.chromosome_4.1312","Cluster_137","evm.TU.chromosome_4.1312","TP5",0.4,-0.4,"2"
"109","Cluster_137_evm.TU.chromosome_4.1350","Cluster_137","evm.TU.chromosome_4.1350","TP5",-0.8,0.4,"1"
"110","Cluster_137_evm.TU.chromosome_4.2151","Cluster_137","evm.TU.chromosome_4.2151","TP5",-0.4,-0.8,"3"
"111","Cluster_137_evm.TU.chromosome_4.2300","Cluster_137","evm.TU.chromosome_4.2300","TP5",0.6,-0.4,"2"
"112","Cluster_137_evm.TU.chromosome_4.831","Cluster_137","evm.TU.chromosome_4.831","TP5",0.6,-0.4,"2"
"113","Cluster_137_evm.TU.chromosome_5.1015","Cluster_137","evm.TU.chromosome_5.1015","TP5",-0.316227766016838,0.774596669241483,"1"
"114","Cluster_137_evm.TU.chromosome_5.1215","Cluster_137","evm.TU.chromosome_5.1215","TP5",0.210818510677892,-0.8,"2"
"115","Cluster_137_evm.TU.chromosome_5.134","Cluster_137","evm.TU.chromosome_5.134","TP5",-0.4,0,"1"
"116","Cluster_137_evm.TU.chromosome_5.1936","Cluster_137","evm.TU.chromosome_5.1936","TP5",0,0.4,"3"
"117","Cluster_137_evm.TU.chromosome_5.2173","Cluster_137","evm.TU.chromosome_5.2173","TP5",0.2,-1,"2"
"118","Cluster_137_evm.TU.chromosome_5.2402","Cluster_137","evm.TU.chromosome_5.2402","TP5",0.2,-1,"2"
"119","Cluster_137_evm.TU.chromosome_5.762","Cluster_137","evm.TU.chromosome_5.762","TP5",-0.4,-0.8,"3"
"120","Cluster_137_evm.TU.chromosome_5.928","Cluster_137","evm.TU.chromosome_5.928","TP5",-0.8,0.4,"1"
"121","Cluster_137_evm.TU.chromosome_6.1538","Cluster_137","evm.TU.chromosome_6.1538","TP5",-0.4,-0.948683298050514,"3"
"122","Cluster_137_evm.TU.chromosome_6.591","Cluster_137","evm.TU.chromosome_6.591","TP5",-0.8,0.8,"1"
"123","Cluster_137_evm.TU.chromosome_6.906","Cluster_137","evm.TU.chromosome_6.906","TP5",-0.4,0.8,"1"
"124","Cluster_137_evm.TU.chromosome_7.1106","Cluster_137","evm.TU.chromosome_7.1106","TP5",0.6,0.737864787372622,"3"
"125","Cluster_137_evm.TU.chromosome_7.2087","Cluster_137","evm.TU.chromosome_7.2087","TP5",0,0.8,"3"
"126","Cluster_137_evm.TU.chromosome_7.2336","Cluster_137","evm.TU.chromosome_7.2336","TP5",-0.2,0,"3"
