"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_11:24987206-24987731",155.626647063763,1.1625258667576,0.291444231035169,3.98884501034202,6.63957831090274e-05,0.00394088164067692,172,676,165,15,152,349,672,84,332,357,190,535,203,232,37,223,161,12,22
"::chromosome_3:12361134-12372651",163.116658905683,-1.63096003146862,0.487416477474038,-3.34613232593372,0.000819472783056396,0.0228159153318722,282,219,333,31,56,162,170,139,395,346,95,70,461,469,38,221,284,57,22
"::chromosome_10:6100273-6100609",91.6261581771366,-3.36453519586648,1.05072554876715,-3.20210658226993,0.00136426510690034,0.0321061861022848,50,9,73,124,2,47,11,19,20,8,73,13,25,43,31,28,91,28,4
"::chromosome_13:32238817-32242414",71.6203184795021,-1.21877957989272,0.400656331248033,-3.0419576201286,0.00235044984574737,0.0463345075995777,230,117,85,8,41,81,64,33,144,164,73,110,354,122,27,110,120,20,8
"::chromosome_2:1649500-1662142",24.1531464241124,-3.84097131768751,1.17274076535333,-3.2752091776483,0.00105583762828077,0.026680492691946,2,27,4,10,3,9,2,2,4,1,5,5,142,10,55,105,13,8,0
"::chromosome_11:25566602-25569085",410.96543433258,-2.58901702384032,0.852011470029283,-3.0387114668202,0.00237592289944249,0.0466157119532687,145,81,1151,48,89,433,185,143,648,245,387,452,219,2041,20,723,2137,117,138
"::chromosome_4:13587858-13591246",33.6266882801147,1.47496641479741,0.400271201284656,3.68491765099152,0.00022877659632652,0.00952255855971253,60,248,27,0,71,44,115,8,68,47,38,143,48,56,8,40,41,5,2
"::chromosome_12:17018020-17034857",47.5061202419934,-4.01968699911811,0.995917831235073,-4.03616329886689,5.43324060141873e-05,0.00336087435119009,17,48,18,8,8,41,8,28,37,15,37,9,27,7,187,30,59,11,3
"::chromosome_6:899631-906466",342.813406463837,2.09148495129561,0.657807019665397,3.17948104652254,0.00147539017775283,0.0338276396610896,758,788,313,10,919,1440,1434,69,1501,393,535,151,245,196,62,472,176,33,62
"::chromosome_4:17354167-17367858",660.180708931001,-1.61017656860163,0.424694362375352,-3.79137730860323,0.000149814153390975,0.00711620021417793,1656,586,675,184,257,1283,342,151,713,2847,492,407,2037,578,295,1517,833,226,133
"::chromosome_10:29737421-29742270",219.618701707281,-2.20193960667526,0.518525363482499,-4.24654175426769,2.1709533782964e-05,0.00181575279034509,260,245,322,18,53,349,344,67,176,272,305,204,625,425,424,228,270,52,23
"::chromosome_14:39052361-39067336",29.2017881492465,-2.08729788605397,0.564424162007862,-3.69810158131554,0.000217217965221174,0.00916999538013082,88,34,22,2,9,69,8,13,34,43,26,63,99,147,26,34,60,3,3
"::chromosome_7:23249513-23255954",32.9938336360314,-2.31678760512453,0.670769968053837,-3.45392267910626,0.000552495756607295,0.0179939888555008,44,13,76,5,4,158,36,10,43,107,29,16,31,48,39,55,45,8,1
"::chromosome_13:12117116-12126367",423.880953387121,0.981871800679895,0.265162024882558,3.70291259132891,0.000213138332910724,0.00906219427399652,567,1980,321,26,443,838,1488,168,859,908,614,1497,520,581,105,788,712,63,69
"::chromosome_6:28905655-28906336",41.4792270770428,-1.95043466318055,0.633992499448732,-3.07643176358788,0.0020949424693831,0.0430963049561894,69,70,9,7,16,35,21,13,40,44,54,18,97,109,14,34,138,39,12
"::chromosome_6:16421082-16422011",36.5252122529331,-4.56707814340573,1.37441450738874,-3.32292632161075,0.000890784390479033,0.023767764557421,22,9,29,18,1,0,3,0,75,56,248,0,87,114,2,10,29,13,3
"::chromosome_6:11019064-11024253",624.358847697725,-1.17175506408859,0.384721798607158,-3.04572048771553,0.00232123514502141,0.0460832087462971,991,818,876,90,241,718,451,808,1146,1358,741,678,1119,1166,268,780,872,274,120
"::chromosome_1:11661834-11670228",529.508295614835,0.905137475673947,0.230963202740165,3.91896832454402,8.89287994392094e-05,0.00492008249071278,820,2491,477,33,550,1160,1542,192,1177,1208,763,1727,758,731,154,828,666,114,73
"::chromosome_10:15624135-15640903",52.5308921292073,1.48163560225794,0.437705428382487,3.38500623063604,0.000711766388734829,0.0209588730831587,45,258,22,7,82,113,176,32,60,54,62,210,77,52,6,78,70,7,15
"::chromosome_12:40871710-40923119",506.12846472807,-1.49334877465913,0.368211910162335,-4.05567754177411,4.99891845038481e-05,0.00317535428561745,986,740,344,48,144,676,963,486,874,854,462,529,1090,1409,227,582,1907,171,87
"::chromosome_14:41985116-41994872",104.712287537726,-1.35545618665495,0.355213151412423,-3.81589527658335,0.000135690048120379,0.0066409840858916,327,283,115,12,21,160,117,33,213,276,123,83,293,250,42,249,232,26,15
"::chromosome_8:28987194-28988051",1162.08402362553,-2.03103435896975,0.474112838438651,-4.28386281556592,1.83676189235346e-05,0.00158844238409111,1169,798,1257,132,237,1335,433,358,3501,1509,1301,1370,3988,2781,300,2559,2223,618,464
"::chromosome_9:17380269-17392093",446.306139882253,0.788409656505969,0.233290819544017,3.37951428198919,0.000726140344803653,0.02109379530377,636,1741,569,51,503,835,1097,275,790,967,468,1179,626,577,145,570,465,137,64
"::chromosome_10:33824315-33826440",223.721769010636,-1.23238967086086,0.316385974156635,-3.89520955897601,9.81138658942587e-05,0.00523322910450964,535,376,123,18,59,407,417,144,481,499,249,254,801,411,82,291,546,73,57
"::chromosome_12:29088575-29090004",15.5842011555872,2.83189418960492,0.773750134310973,3.6599595451143,0.000252255070510166,0.0102601006418689,6,78,12,2,9,24,193,4,7,32,3,80,21,5,1,14,9,5,1
"::chromosome_3:19386018-19393451",62.2577940024338,1.4819043125203,0.363201660545474,4.08011436482614,4.50135488565549e-05,0.00298110175791645,87,228,49,3,128,79,242,24,162,107,59,203,73,63,8,113,96,14,11
"::chromosome_12:16780760-16784654",243.592891071162,1.29264313317529,0.293722181163672,4.40090403814271,1.07800795063532e-05,0.00106293277103383,308,1029,222,5,318,558,991,144,472,423,315,762,288,245,54,347,331,58,50
"::chromosome_4:2130979-2139538",3747.93358260111,-1.24664425509236,0.281643594603138,-4.42631850672476,9.58549598405788e-06,0.00097025915315904,6443,6066,4828,548,1127,6446,3275,4069,6244,7666,3948,4777,9100,8212,1519,7829,5947,1106,575
"::chromosome_1:17415024-17417007",95.0619816764837,-1.56846477414582,0.384825752981314,-4.07577913378883,4.5860532602454e-05,0.0030259458826397,265,176,58,2,30,157,140,25,160,186,89,137,367,349,62,181,191,12,28
