,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_6:17197145-17203074,23.0898,0,14.6525,47.4403,38.565,0,42.1637,30.602,17.8864,8.15131,15.3606,31.8502,14.104,14.3591,7.36982,7.94261,13.5397,43.5192,21.2376,3.04302
::chromosome_14:10876882-10886966,141.75,0,508.501,110.98,3,72.6282,168.429,385.243,62.1368,153.372,168.936,84.9605,260.127,132.881,153.824,31.703,123.443,156.809,8.61952,25.1737
::chromosome_14:11368814-11371478,1.15032,0,0,14.5045,1.56188,0,1.1632,23.0166,21.3221,5.93695,12.226,0,1.42366,0,0,0,0,5.80407,0,1.77762
::chromosome_5:20705129-20707816,0,0,0,1.03108,0,0,1.01781,13.7886,4.3882,0,0,0,0,13.4693,0,0,0,0,0,0
::chromosome_6:29023687-29024212,4,0,2,1,0,0,5,24,6,3,13,5,8,5,6,0,7,3,0,3
::chromosome_14:52701356-52702652,1.42768,0,2.02619,0,0,39,0,3.00026,0,1.10056,2.00016,0,2.05199,1,1.05819,0,3.3321,0,0,0
::chromosome_13:4269220-4269514,15.8051,0,10,5,2,6,5,16,10,19,23,2,15,3,9,13,3,4,0,5
::chromosome_12:14709564-14739653,687.692,0,418.338,334.529,5.03779,173.871,274.879,313.592,109.165,385.74,172.427,133.899,236.815,366.219,246.174,46.5302,259.987,260.965,40.5662,27.4803
::chromosome_7:12459504-12463161,18,0,44.4793,2.10045,0,4.57853,24.0211,18.6775,8,20,30.3222,11.1287,11.6279,10.1186,13.0437,8.40175,4.00313,5,0,0
::chromosome_12:23929595-23930006,0,0,5,0,0,0,5,2,0,0,1,0,0,2,2,0,4,9,1,0
::chromosome_2:5770820-5793698,951.827,0,1694.97,517.104,111.815,805.577,1044.78,1206.45,665.296,1090.19,891.335,720.954,1474.81,975.955,813.639,209.077,821.928,743.323,171.088,116.459
::chromosome_2:1397247-1400582,25,0,2.00947,0,0,1,4.01079,4.02554,7,7,6.01514,1,6.0295,11.112,9.00634,1,13.0238,4,0,0
::chromosome_12:22988093-22988993,16,0,19,3,1,0,3,19,8,13,16,28,0,12,3,2,30,20,6,2
::chromosome_10:26333154-26346298,302.829,0,552.413,133.701,9.15533,152.227,277.136,350.309,79.3761,247.538,272.194,143.669,384.488,241.604,270.521,47.2248,345.198,238.406,15.8107,12.6763
::chromosome_12:41073750-41074113,3,0,2,1,0,1,13,0,0,2,2,4,6,5,5,6,0.5,0,0,0
::chromosome_6:7138963-7143460,93.9998,0,227.273,58.8569,2.17408,61.3381,96.6664,123.374,31.2868,99.6399,117.868,111.235,85.5546,80.5265,61.767,45.7,79.3365,63.6357,23.1607,11.0793
::chromosome_12:22338120-22341029,1.00292,0,0,0,0,0,0,2,7,5.00859,1.00516,0,0,0,0,0,0,0,0,0
::chromosome_7:3004483-3012260,69.1531,0,133.829,425.233,4,48,95.5649,71.7866,81.768,74.5836,83.2111,79.1225,82,59.3558,53.8329,16,45.6555,52.6252,4,12
::chromosome_11:18951314-18952136,0,0,11,0,0,5,3,1,0,1,0,0,5,5,6.43995,0,1,0,0,0
::chromosome_2:4715722-4718510,47.7691,0,65.1519,50.7688,7,2.14374,44.9679,18.0213,12.1983,29.4621,34.7008,27.4381,3.0001,58.9742,30.6019,159.299,34.1927,52.9493,16.0667,1
::chromosome_7:1400922-1403992,14.7459,0,34.6701,45.2631,0,12.3451,37.868,71.3798,62.1968,17.3221,32.9161,2.0441,91.6158,39.6207,11.1237,3.06187,6.63433,9.76299,8.14896,1.00713
::chromosome_14:29371039-29374303,0,0,0,3.00726,0,1.03304,0,0,0,0,0,0,0,0,1.00062,0,0,0,0,0
::chromosome_11:8075100-8075571,145,0,29,49,6,7,46,22,24,98,73,39,58,119,104,37,47,48,3,28
::chromosome_5:3463279-3488254,241.521,0,492.098,141.58,10.3626,113.225,259.476,751.959,34.7003,198.756,166.913,175.008,171.912,264.447,306.441,42.6349,158.304,207.375,14.5703,31.5842
::chromosome_10:13734287-13749009,246.819,0,623.231,126.67,15.6506,141.9,239.271,241.777,40.0535,292.848,284.896,142.668,565.928,218.64,308.718,33.4004,257.287,397.604,24.8148,16.1766
::chromosome_6:5641854-5645549,1316,0,2028,1604,125,418,1231,1499,1073,1249,1506,864,1304,1261,1271,348,833,1219,378,148
::chromosome_12:19342966-19343368,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,3
::chromosome_5:18352385-18355691,6.66669,0,6.47216,7.29818,0,5.10519,1.08879,3.25648,3.01096,11.92,0,1.06035,0,0,2.10679,0,1.04818,10.1318,1.02822,0
::chromosome_1:15459774-15466891,174.868,0,232.447,29.0676,10,67.4245,174.799,103.866,16.1705,160.444,154.294,125.219,99.9129,205.066,146.949,25.1417,150.026,115.665,13.6769,12
::chromosome_14:31376295-31379974,0,0,0,0,0,0,2.71413,8.15752,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_7:5639797-5640385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:15871212-15871974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_10:7232741-7233752,39,0,73,7,1,10,30,34,17,14,19,12,36.0699,25,17,1,27,22,2,4
::chromosome_14:9200759-9202619,73.7814,0,285.269,8.19738,3,0,17.5669,22.0357,7,36.9478,79.3619,38.2719,51.214,225.138,62.6321,5.52251,81.6688,13.0027,0,0.00204374
::chromosome_7:5868149-5868533,0,0,0,0.133042,0,1.80512,0,0,0,0,0,0,14.0087,1.50325,0,0,0,1.85414,0,0
::chromosome_11:27126732-27127080,4,0,1,10,29,35,5,1,6,1,1,6,2,12,5,1,6,15,6,7
::chromosome_9:13311030-13311948,10,0,8,1,0,0,7,1,0,12,5,5,0,4,7,3,2,0,0,0
::chromosome_11:15103772-15105959,23,0,42,4,1,6,11,54,19,43,35,13,5,52,53,5,20,71,6,0
::chromosome_13:36575659-36579458,551.97,0,224.645,337.181,28.105,24.6907,265.507,192.558,42.7828,517.887,252.316,280.858,11.2805,768.864,1476.29,58.1017,1151.96,873.888,32.6613,117.945
::chromosome_12:8587015-8599512,322.297,0,422.073,145.301,96.8222,39.8896,172.692,348.703,30.0065,947.936,84.9931,92.693,186.244,198.685,2248.76,449.7,1002.05,294.706,46.7771,175.928
::chromosome_13:12062723-12063026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63604,0,0,0,0,0
::chromosome_14:36996777-37009092,338.572,0,1072.48,41.1864,12.7857,140.277,315.717,837.699,65.4439,572.823,298.122,201.014,554.734,343.972,321.107,52.4928,378.17,363.69,22.0462,56.8817
::chromosome_1:4552109-4553282,14,0,8,7,0,2,8,15,0,8,9,2,1,3,12,2,9,10,2,0
::chromosome_3:210811-216125,16.1048,0,195.789,39.0932,11,40.4183,63.0391,88.0539,21.5035,20.1494,84.0896,22.8919,100.383,167.549,32.5851,6,214,75.1619,44,15
::chromosome_9:3058278-3066798,942,0,1113.15,421,21,314,955.518,644.915,150,924.388,802.965,517.16,858.162,821.727,900.067,131.03,744.328,884.692,61,84
::chromosome_5:25921814-25928781,86.1716,0,317.18,31.3757,4,41.3698,84.4827,157.655,1.01002,57.6997,51.5186,38.497,115.973,53.0693,82.6728,15.0861,61.3042,92.764,3,2.00152
::chromosome_10:14473589-14473898,0,0,1,2,0,0,1,0,6,1,0,0,0,0,0,0,0,1,0,0
::chromosome_5:17792348-17792768,2,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,3,0,0,0
::chromosome_13:28052376-28056301,4.50144,0,0,0,25.2365,0,3.98675,0,0,0,2.79481,18.2452,2.63334,3.69667,0,43.2047,0,11.4834,0,0
::chromosome_9:14639818-14641780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_4:1332270-1333064,52,0,8,11,0,0,29,5,18,22,27,10,6,67,17,5,29,35,6,3
::chromosome_14:23071890-23072130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_12:25825147-25836364,34.405,0,96.3154,19.4606,2.09166,36.338,95.2099,75.4092,15.1606,41.6901,42.3005,27.1664,88.9864,55.9739,63.4842,3.92725,52.9235,48.5405,1.47264,4.25182
::chromosome_8:23488673-23489051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_5:4211039-4271755,422.164,0,2386.97,892.078,62.7369,808.152,400.972,977.115,270.54,404.714,374.381,394.603,1685.48,437.892,451.96,112.689,245.076,467.441,126.48,39.3893
::chromosome_5:26944098-26944410,3,0,1,0,0,0,0,2,0,0,0,1,2,12,7,0,3,0,0,0
::chromosome_9:22617425-22617899,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,4,0,0,0
::chromosome_9:30762696-30767455,144.59,0,295.186,116.344,12.0163,48.7148,166.379,295.406,75.6941,205.293,278.044,156.446,155.047,196.667,208.208,53.2458,236.948,137.351,56.9872,10.0655
::chromosome_12:32938239-32940171,39,0,26,22,7,3,8,8,13,24,51,6,13,53,37,2,19,48,10,8
