"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1621","chromosome_8_274900",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"1622","chromosome_8_276519",0,44,2,0,4,2,3,5,1,2,0,4,5,0,0,2,0,0
"1623","chromosome_8_277080",0,200,6,0,19,5,34,13,14,38,3,29,19,2,1,0,4,1
"1624","chromosome_8_277718",1,38,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"1625","chromosome_8_277732",0,28,1,0,1,5,2,1,4,13,1,0,9,4,0,7,0,0
"1626","chromosome_8_277906",3,2,1,0,1,0,4,2,1,1,0,0,8,1,0,2,0,0
"1627","chromosome_8_278769",5,28,4,0,4,5,5,1,10,16,4,2,5,1,1,7,5,0
"1628","chromosome_8_278973",1,46,1,0,4,1,5,3,1,4,0,7,61,1,0,1,1,2
"1629","chromosome_8_279820",0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
"1630","chromosome_8_280145",0,39,2,0,2,0,9,5,2,5,0,11,8,1,0,0,2,3
"1631","chromosome_8_281522",0,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0
"1632","chromosome_8_281569",56,241,27,8,28,182,49,33,61,56,3,63,156,13,15,30,96,4
"1633","chromosome_8_281693",6,33,1,0,3,9,3,1,11,3,0,0,12,0,0,0,3,3
"1634","chromosome_8_282079",5,28,2,0,2,10,1,2,0,6,1,40,4,4,0,1,0,3
"1635","chromosome_8_282657",0,9,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"1636","chromosome_8_282671",1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0
"1637","chromosome_8_284352",0,0,0,0,0,0,1,3,0,1,0,3,2,0,0,0,1,0
"1638","chromosome_8_284631",1,9,2,0,0,3,0,0,3,3,2,2,0,3,0,2,2,1
"1639","chromosome_8_284878",0,154,0,1,0,0,17,5,0,0,0,7,4,0,0,1,0,1
"1640","chromosome_8_285016",2,83,3,0,8,10,13,30,2,7,6,15,5,0,3,4,16,1
"1641","chromosome_8_285815",11,1101,13,2,21,12,151,40,12,34,1,16,42,3,5,6,27,3
"1642","chromosome_8_286396",3,345,23,1,28,31,99,31,20,62,5,89,36,9,4,23,9,11
"1643","chromosome_8_286749",4,5,7,20,4,1,1,3,0,1,0,6,4,2,0,1,9,9
"1644","chromosome_8_287142",1,28,5,0,2,1,4,0,2,0,0,5,1,0,0,3,0,0
"1645","chromosome_8_288492",70,347,82,254,67,58,93,68,73,199,23,117,76,60,23,88,33,173
"1646","chromosome_8_288500",0,0,0,0,1,4,0,0,0,12,0,0,3,0,0,2,0,0
"1647","chromosome_8_289386",0,0,52,0,20,37,1,0,1,132,0,6,0,4,1,1,16,0
"1648","chromosome_8_289776",32,328,16,7,3,60,82,6,35,83,1,42,6,10,0,3,4,13
