Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9259177,12:29:54,1.625,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.889,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9259185,12:29:55,1.642,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.759,µmol/L,10.166,°C,1030,hPa,Humid,35,0
9259191,12:29:56,1.658,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.882,µmol/L,10.161,°C,1030,hPa,Humid,35,0
9259201,12:29:57,1.675,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.887,µmol/L,10.16,°C,1030,hPa,Humid,35,0
9259209,12:29:58,1.692,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.808,µmol/L,10.161,°C,1030,hPa,Humid,35,0
9259218,12:29:59,1.709,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.856,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9259225,12:30:00,1.725,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.807,µmol/L,10.164,°C,1030,hPa,Humid,35,0
9259234,12:30:01,1.742,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.999,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259243,12:30:02,1.759,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.923,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9259251,12:30:03,1.775,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.89,µmol/L,10.157,°C,1030,hPa,Humid,35,0
9259257,12:30:04,1.792,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.828,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9259267,12:30:05,1.808,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.944,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9259276,12:30:06,1.825,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.884,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9259283,12:30:07,1.842,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.846,µmol/L,10.157,°C,1030,hPa,Humid,35,0
9259292,12:30:08,1.859,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.848,µmol/L,10.164,°C,1030,hPa,Humid,35,0
9259299,12:30:09,1.875,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.881,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259308,12:30:10,1.892,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.691,µmol/L,10.169,°C,1030,hPa,Humid,35,0
9259316,12:30:11,1.909,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.839,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9259324,12:30:12,1.925,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.809,µmol/L,10.158,°C,1030,hPa,Humid,35,0
9259330,12:30:13,1.942,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.959,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9259338,12:30:14,1.958,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.778,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9259346,12:30:15,1.975,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.779,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9259354,12:30:16,1.992,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.909,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259362,12:30:17,2.008,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.692,µmol/L,10.166,°C,1030,hPa,Humid,35,0
9259369,12:30:18,2.025,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.738,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259377,12:30:19,2.042,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.867,µmol/L,10.162,°C,1030,hPa,Humid,35,0
9259387,12:30:20,2.059,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.909,µmol/L,10.147,°C,1030,hPa,Humid,35,0
9259395,12:30:21,2.075,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.868,µmol/L,10.154,°C,1030,hPa,Humid,35,0
9259401,12:30:22,2.092,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.934,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259411,12:30:23,2.109,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.792,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259419,12:30:24,2.125,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.916,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9259428,12:30:25,2.142,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.763,µmol/L,10.161,°C,1030,hPa,Humid,35,0
9259434,12:30:26,2.158,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.871,µmol/L,10.162,°C,1030,hPa,Humid,35,0
9259443,12:30:27,2.175,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.745,µmol/L,10.168,°C,1030,hPa,Humid,35,0
9259450,12:30:28,2.192,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.868,µmol/L,10.162,°C,1030,hPa,Humid,35,0
9259459,12:30:29,2.209,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.788,µmol/L,10.16,°C,1030,hPa,Humid,35,0
9259465,12:30:30,2.225,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.814,µmol/L,10.16,°C,1030,hPa,Humid,35,0
9259474,12:30:31,2.242,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.819,µmol/L,10.16,°C,1030,hPa,Humid,35,0
9259482,12:30:32,2.259,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.669,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259492,12:30:33,2.275,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.736,µmol/L,10.158,°C,1030,hPa,Humid,35,0
9259498,12:30:34,2.291,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.869,µmol/L,10.162,°C,1030,hPa,Humid,35,0
9259506,12:30:35,2.308,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.752,µmol/L,10.162,°C,1030,hPa,Humid,35,0
9259514,12:30:36,2.325,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.798,µmol/L,10.167,°C,1030,hPa,Humid,35,0
9259523,12:30:37,2.342,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.898,µmol/L,10.159,°C,1030,hPa,Humid,35,0
9259532,12:30:38,2.359,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.77,µmol/L,10.165,°C,1030,hPa,Humid,35,0
