Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258800,19/12/20 12:29:07,1.097,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.319,µmol/L,10.189,°C,1029.000,hPa,Humid,35,0
9258805,19/12/20 12:29:08,1.113,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.015,µmol/L,10.202,°C,1029.000,hPa,Humid,35,0
9258813,19/12/20 12:29:09,1.130,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.194,µmol/L,10.201,°C,1029.000,hPa,Humid,35,0
9258823,19/12/20 12:29:10,1.147,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.812,µmol/L,10.207,°C,1029.000,hPa,Humid,35,0
9258830,19/12/20 12:29:11,1.164,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.369,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258842,19/12/20 12:29:12,1.181,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.006,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9258845,19/12/20 12:29:13,1.196,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.124,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9258855,19/12/20 12:29:14,1.213,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.017,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258863,19/12/20 12:29:15,1.230,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.187,µmol/L,10.204,°C,1029.000,hPa,Humid,35,0
9258874,19/12/20 12:29:16,1.247,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.228,µmol/L,10.199,°C,1029.000,hPa,Humid,35,0
9258882,19/12/20 12:29:17,1.264,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.164,µmol/L,10.193,°C,1029.000,hPa,Humid,35,0
9258888,19/12/20 12:29:18,1.280,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.128,µmol/L,10.213,°C,1029.000,hPa,Humid,35,0
9258895,19/12/20 12:29:19,1.297,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.101,µmol/L,10.208,°C,1029.000,hPa,Humid,35,0
9258902,19/12/20 12:29:20,1.314,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.135,µmol/L,10.207,°C,1029.000,hPa,Humid,35,0
9258914,19/12/20 12:29:21,1.331,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.812,µmol/L,10.204,°C,1029.000,hPa,Humid,35,0
9258919,19/12/20 12:29:22,1.347,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.363,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9258928,19/12/20 12:29:23,1.363,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.115,µmol/L,10.210,°C,1029.000,hPa,Humid,35,0
