YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	11	13	246	7.2	10.2	99	99	99	999	1027.6	10.4	10.1	999	99	99
2004	11	11	15	248	9.4	11.7	99	99	99	999	1027.3	11.1	10.7	999	99	99
2004	11	11	16	247	7.5	11.8	99	99	99	999	1026.8	11.2	10.6	999	99	99
2004	11	11	17	250	7.4	11	99	99	99	999	1026	11.4	10.6	999	99	99
2004	11	11	18	248	6.4	8.4	99	99	99	999	1025.2	11.7	10.8	999	99	99
2004	11	11	19	242	6.4	12.8	99	99	99	999	1024.1	11.7	11	999	99	99
2004	11	11	20	248	7.6	11	99	99	99	999	1024.2	12.2	10.9	999	99	99
2004	11	11	21	244	7	10.5	99	99	99	999	1023.9	11.7	10.9	999	99	99
2004	11	11	22	240	6.9	9.4	99	99	99	999	1024	11.6	10.9	999	99	99
2004	11	11	23	254	6.4	8.2	99	99	99	999	1024.6	11.5	11	999	99	99
2004	11	12	0	261	3	4.6	99	99	99	999	1025.3	11	10.8	999	99	99
2004	11	12	1	256	2.8	3.7	99	99	99	999	1025.1	10.5	10.9	999	99	99
2004	11	12	2	250	2.9	4.1	99	99	99	999	1025	10.4	10.8	999	99	99
2004	11	12	3	266	1.5	2.6	99	99	99	999	1024.7	10.1	10.6	999	99	99
2004	11	12	4	264	0.7	2.8	99	99	99	999	1025.1	10	10.7	999	99	99
2004	11	12	5	6	2.5	3.9	99	99	99	999	1025.6	9.1	10.7	999	99	99
2004	11	12	6	40	4.5	8.9	99	99	99	999	1025.7	7.9	10.8	999	99	99
2004	11	12	7	30	4.1	6	99	99	99	999	1026.2	7.4	10.7	999	99	99
2004	11	12	8	42	4.7	7.4	99	99	99	999	1026.5	7.1	10.7	999	99	99
2004	11	12	9	49	5.3	8	99	99	99	999	1026.8	6.8	10.8	999	99	99
2004	11	12	10	50	5.9	8	99	99	99	999	1027.2	6.5	10.8	999	99	99
2004	11	12	11	54	5.9	7.2	99	99	99	999	1027.5	6	10.8	999	99	99
2004	11	12	12	43	4.2	7.1	99	99	99	999	1027.6	5.9	11	999	99	99
2004	11	12	13	61	6.5	8.5	99	99	99	999	1028.1	5.9	10.3	999	99	99
2004	11	12	14	54	5.9	8	99	99	99	999	1028.3	6.2	10.2	999	99	99
2004	11	12	15	47	6.4	9.3	99	99	99	999	1028.3	6.3	10.2	999	99	99
2004	11	12	16	46	5.1	8.3	99	99	99	999	1028.2	6	10.3	999	99	99
2004	11	12	17	44	5	7.4	99	99	99	999	1027.5	5.4	10.6	999	99	99
2004	11	12	18	39	5.8	7.9	99	99	99	999	1027.9	5	10.3	999	99	99
2004	11	12	19	44	7.1	9.4	99	99	99	999	1027.3	4.7	10.2	999	99	99
2004	11	12	20	36	5.8	10.1	99	99	99	999	1027.3	4.5	10.2	999	99	99
2004	11	12	21	39	6.3	10.2	99	99	99	999	1027.1	3.9	10.2	999	99	99
2004	11	12	22	38	4.6	7.2	99	99	99	999	1027.6	3.9	10.5	999	99	99
2004	11	12	23	39	5.6	7.9	99	99	99	999	1028	3.9	10.7	999	99	99
2004	11	13	0	40	5.9	9.7	99	99	99	999	1028.3	4	10.3	999	99	99
2004	11	13	1	45	6.2	9.9	99	99	99	999	1028.3	3.5	9.9	999	99	99
