Tin_ID,Plug_ID,Fraction ,Volume_mL,Tin_g,Tin_Dry_g,Dry_Biomass_g,Tin_Burn_g,AFDW_g_mL,Notes
724,,,,1.1383,,,,,
734,,,,1.1547,,,,,
756,AST-1148,Host,4,1.1408,1.1781,0.0373,1.1755,0.00065,
994,,,,1.1281,,,,,
904,FLD-0042,Host,4,1.1259,1.1558,0.0299,1.1522,0.0009,
910,AST-2755,Host,4,1.129,1.1724,0.0434,1.1684,0.001,
972,,,,1.1209,,,,,
718,AST-2211,Host,4,1.1455,1.1611,0.0156,1.156,0.001275,
737,,,,1.1366,,,,,
733,,,,1.1383,,,,,
921,,,,1.1256,,,,,
818,FLD-2024,Host,4,1.1332,1.1824,0.0492,1.1702,0.00305,
947,AST-1497,Host,4,1.1476,1.1797,0.0321,1.1767,0.00075,
990,AST-1332,Host,4,1.1366,1.1823,0.0457,1.1772,0.001275,
997,FLD-0031,Host,4,1.1574,1.2042,0.0468,1.1971,0.001775,
745,,,,1.1417,,,,,
765,,,,1.1591,,,,,
691,AST-2403,Host,4,1.1816,1.1983,0.0167,1.1938,0.001125,
641,AST-2541,Host,4,1.1266,1.173,0.0464,1.1673,0.001425,
729,,,,1.1398,,,,,
950,,,,1.1437,,,,,
684,FLD-0015,Host,4,1.1105,1.1481,0.0376,1.1291,0.00475,
930,AST-1630,Host,4,1.1297,1.1693,0.0396,1.1665,0.0007,
912,AST-1126,Host,4,1.1426,1.1535,0.0109,1.1513,0.00055,
666,AST-2079,Host,4,1.1348,1.1734,0.0386,1.1696,0.00095,
671,AST-1087,Host,4,1.1152,1.1587,0.0435,1.1549,0.00095,
670,FLD-0003,Host,4,1.1541,1.2,0.0459,1.1919,0.002025,
791,AST-1174,Host,4,1.1447,1.19,0.0453,1.1723,0.004425,
674,,,,1.1537,,,,,
673,,,,1.1769,,,,,
687,,,,1.1263,,,,,
796,,,,1.1476,,,,,
819,AST-1337,Host,4,1.1547,1.2012,0.0465,1.1941,0.001775,
675,AST-1486,Host,4,1.174,1.1953,0.0213,1.1905,0.0012,
957,,,,1.1509,,,,,
954,AST-1152,Host,4,1.1095,1.1498,0.0403,1.1454,0.0011,
686,,,,1.1132,,,,,
758,,,,1.1489,,,,,
742,,,,1.1254,,,,,
679,,,,1.1237,,,,,
692,,,,1.1964,,,,,
677,,,,1.1181,,,,,
701,,,,1.1276,,,,,
707,AST-1255,Host,4,1.1427,1.1736,0.0309,1.1708,0.0007,
757,,,,1.154,,,,,
747,AST-2538,Host,4,1.1484,,,1.1855,,
815,AST-2728,Host,4,1.1415,1.1837,0.0422,1.1798,0.000975,
704,,,,1.1183,,,,,
667,,,,1.1099,,,,,
669,,,,1.1231,,,,,
974,,,,1.1416,,,,,
725,AST-1578,Symbiont,1,1.1353,1.1391,0.0038,1.1379,0.0012,
746,,,,1.1458,,,,,
644,,,,1.1239,,,,,
683,FLD-0005,Host,4,1.1231,1.1593,0.0362,1.1514,0.001975,
680,AST-1147,Host,4,1.1289,1.1427,0.0138,1.1369,0.00145,
664,,,,1.1503,,,,,
740,,,,1.1492,,,,,
732,,,,1.1343,,,,,
648,AST-1748,Host,4,1.1569,1.202,0.0451,1.1959,0.001525,
739,ast-2375,Host,4,1.1364,1.1809,0.0445,1.1733,0.0019,
665,,,,1.1234,,,,,
