PlugID,File Name,Site,Tank,Treatment,Timepoint,Area_cm,Mean,Min,Max,Date analyzed ,Notes
AST-1138,Tank2.5_T1_20210303.JPG,FW,2,Ambient,TP1,2.863,67.72,24,161,5/8/22,
AST-2209,Tank12.3_T1_20210303.JPG,FW,12,Ambient,TP1,4.276,76.731,21,204,5/8/22,
AST-1058,Tank5.4_T1_20210303.JPG,ENDV,5,Ambient,TP1,3.579,62.594,23,147,5/8/22,
AST-1497,Tank1.8_T1_20210303.JPG,FW,1,Ambient,TP1,2.528,82.069,19,183,5/8/22,
AST-1696,Tank18.3_T1_20210303.JPG,FW,18,Ambient,TP1,1.787,62.1,19,140,5/8/22,
AST-1332,Tank7.2_T1_20210303.JPG,ENDV,7,Heat,TP1,4.445,65.564,18,136,5/8/22,
AST-1777,1777_Tank15_T1_20210303.JPG,FW,15,Heat,TP1,1.441,67.116,26,188,5/8/22,
AST-1649,Tank4.3_T1_20210303.JPG,FW,4,Heat,TP1,3.233,66.156,20,115,5/8/22,
AST-1630,Tank9.3_T1_20210303.JPG,ENDV,9,Heat,TP1,1.615,53,15,179,5/8/22,
AST-1146,1146_Tank6_T1_20210303.JPG,FW,6,Heat,TP1,1.187,72.058,22,134,4/12/22,
AST-1185,Tank11.1_T1_20210303.JPG,ENDV,11,Heat,TP1,4.072,46.053,8,120,5/8/22,
AST-2301,2301_Tank3_T1_2021030.JPG,ENDV,3,Heat,TP1,7.803,84.77,18,193,4/12/22,
AST-1325,Tank17.5_T1_20210303.JPG,ENDV,17,Heat,TP1,2.739,83.322,17,174,5/8/22,
AST-2539,2539_Tank10_T2_20210330.JPG,FW,10,Ambient,TP2,7.357,64.879,26,136,1/26/23,
AST-1037,Tank8.3_T1_20210303.JPG,FW,8,Ambient,TP2,5.618,74.638,25,136,1/26/23,
AST-1337,1337_Tank2_T2_20210330.JPG,FW,2,Ambient,TP2,2.369,60.731,19,122,5/8/22,
AST-2020,2020_Tank18_T2_20210330.JPG,FW,17,Heat,TP2,2.418,49.37,12,148,5/8/22,
AST-2403,2403_Tank5_T2_20210330.JPG,FW,5,Ambient,TP2,3.903,66.546,26,173,5/8/22,
AST-1182,Tank1.3_T1_20210303.JPG,FW,1,Ambient,TP2,2.015,62.251,17,120,1/26/23,
AST-2538,2538_Tank16_T2_20210330.JPG,FW,16,Ambient,TP2,1.398,39.825,11,143,5/8/22,
AST-1288,1288_Tank4_T2_20210330.JPG,ENDV,12,Ambient,TP2,7.436,46.324,19,152,5/8/22,
AST-2165,2165_Tank15_T2_20210330.JPG,ENDV,15,Heat,TP2,1.685,57.836,20,117,5/8/22,
AST-1496,Tank17.2_T1_20210303.JPG,FW,17,Heat,TP2,2.011,30.589,12,105,1/26/23,
AST-1473,Tank11.1_T1_20210303.JPG,FW,11,Heat,TP2,5.363,49.801,9,150,1/26/23,
AST-1735,Tank3.3_T1_20210303.JPG,FW,3,Heat,TP2,8.912,46.685,8,130,1/26/23,Bottom left coral
AST-1273,1273_Tank7_T2_20210330.JPG,ENDV,7,Heat,TP2,3.475,52.847,17,151,5/8/22,
AST-2541,Tank6.1_T1_20210303.JPG,FW,6,Heat,TP2,5.831,45.913,14,181,1/26/23,Middle right coral 
AST-1184,1184_Tank4_T2_20210330.JPG,ENDV,4,Heat,TP2,5.802,57.796,21,153,5/8/22,
AST-1761,Tank9.2_T1_20210303.JPG,FW,9,Heat,TP2,4.327,75.526,24,155,1/26/23,
AST-1075,Tank3.1_T1_20210303.JPG,ENDV,3,Heat,TP3,6.225,83.361,13,166,1/26/23,Bottom left coral
AST-1228,1228_Tank4_T2.JPG,FW,4,Heat,TP3,7.009,43.971,19,131,1/26/23,
AST-1148,Tank6_T1_20210303.JPG,ENDV,6,Heat,TP3,2.836,31.386,9,142,1/26/23,Middle left coral 
AST-2561,2561_Tank7_T2.JPG,ENDV,7,Heat,TP3,3.602,39.373,15,132,1/26/23,
AST-1080,1080_Tank9_T2.JPG,FW,9,Heat,TP3,1.812,66.27,23,128,1/26/23,
AST-1689,Tank11.5_T1_20210303.JPG,ENDV,11,Heat,TP3,2.675,72.242,25,184,1/26/23,
AST-2731,2731_Tank15_T2.JPG,ENDV,15,Heat,TP3,3.216,26.717,10,101,1/26/23,
AST-1249,Tank17.5_T1_20210303.JPG,FW,17,Heat,TP3,3.337,64.153,25,147,1/26/23,
AST-1443,Tank1.7_T1_20210303.JPG,FW,1,Ambient,TP3,6.545,56.252,16,169,1/26/23,
AST-2016,2016_Tank2_T2.JPG,ENDV,2,Ambient,TP3,2.901,69.703,18,137,1/26/23,
AST-1077,1077_Tank5_T2.JPG,ENDV,5,Ambient,TP3,1.543,57.37,25,112,1/26/23,
AST-1434,Tank8.2_T1_20210303.JPG,FW,8,Ambient,TP3,1.974,74.695,26,130,1/26/23,
AST-1719,1719_Tank10_T2.JPG,ENDV,10,Ambient,TP3,2.692,74.926,28,117,1/26/23,
AST-1432,Tank12.4_T1_20210303.JPG,ENDV,12,Ambient,TP3,3.125,43.197,12,101,1/26/23,
AST-1126,1126_Tank16_T2.JPG,ENDV,16,Ambient,TP3,1.799,18.965,2,101,1/26/23,
