Measurement Name :,20210805_Run1_WildTypeTest,,Generated On :,"05/08/2021, 10:04:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
05.08.21 09:41:56,25.05,193.97,208.23,205.23,201.9,183.85,204.89,200.24,193.31,187.42,193.97,195.61,205.23,189.05,203.89,198.25,195.28,188.73,195.61,200.57,205.23,188.4,196.27,198.91,203.56,,24,965,30,22.73,
05.08.21 09:42:11,25.3,194.62,208.23,205.23,201.56,183.52,205.56,200.9,193.64,188.07,193.64,195.61,205.56,189.05,204.23,198.25,195.61,189.38,195.94,200.24,205.23,188.4,196.93,198.91,203.56,,24,965,30,22.73,
05.08.21 09:42:26,25.55,194.3,208.23,205.56,201.56,183.85,205.56,200.24,193.64,187.75,193.64,195.61,204.89,188.4,204.56,198.25,195.94,189.05,195.94,200.24,205.23,188.73,196.93,198.91,203.56,,24,965,30,22.73,
05.08.21 09:42:41,25.8,194.3,208.23,205.56,201.56,183.2,204.89,199.91,193.31,187.42,193.64,194.95,205.23,188.4,203.56,197.92,194.95,188.73,195.61,200.24,204.89,188.4,196.6,198.91,202.89,,24,965,30,22.73,
05.08.21 09:42:56,26.05,193.64,207.9,205.56,201.9,182.88,205.56,200.24,193.64,187.42,193.64,195.28,204.89,188.4,204.23,198.58,195.28,188.73,195.61,199.91,205.23,188.07,196.93,198.58,203.23,,24,965,30,22.73,
05.08.21 09:43:11,26.3,193.64,208.23,205.23,201.9,182.55,205.89,200.57,193.31,187.42,193.97,195.28,205.56,188.4,204.23,197.92,195.28,189.05,195.61,200.24,205.23,188.07,196.93,199.24,203.23,,24,965,30,22.73,
05.08.21 09:43:26,26.55,193.97,208.23,205.56,201.23,182.88,204.89,200.57,193.31,186.77,193.31,194.95,205.23,187.75,203.89,198.25,194.95,188.4,195.61,199.58,205.23,188.07,196.27,198.25,202.89,,24,965,30,22.73,
05.08.21 09:43:41,26.8,193.97,208.57,205.23,201.56,182.55,204.89,200.24,192.65,186.45,193.64,195.28,204.89,188.07,203.89,197.92,194.95,188.07,194.95,199.58,205.23,187.75,196.6,198.58,203.23,,24,965,30,22.73,
05.08.21 09:43:56,27.05,193.31,208.23,205.56,201.56,182.23,204.89,200.24,193.31,186.45,193.31,194.95,204.89,188.07,203.89,197.59,194.95,187.75,194.95,199.91,204.89,187.42,196.27,198.25,202.89,,24,965,30,22.71,
05.08.21 09:44:11,27.3,193.64,208.23,205.23,201.23,181.58,204.89,200.24,192.65,186.45,193.31,194.62,204.56,188.07,204.23,197.26,194.62,187.75,195.28,199.91,204.89,187.42,196.27,198.58,202.89,,24,965,30,22.71,
05.08.21 09:44:26,27.55,193.64,208.23,204.89,201.56,181.58,204.89,200.24,192.98,186.12,193.31,194.62,204.89,188.07,203.89,197.59,194.62,187.75,194.62,199.58,204.56,187.42,196.27,198.25,203.23,,24,965,30,22.71,
05.08.21 09:44:41,27.8,193.31,208.23,205.56,201.23,182.23,204.89,200.24,192.98,186.12,193.64,194.95,204.89,187.75,203.89,198.25,194.95,187.42,195.28,200.24,204.89,187.75,196.6,198.58,203.56,,24,965,30,22.73,
05.08.21 09:44:56,28.05,193.64,208.23,204.89,201.9,181.9,205.23,200.57,192.65,185.8,193.64,195.28,204.89,188.4,203.89,197.92,194.95,187.1,195.28,199.91,204.89,187.42,196.6,198.25,203.56,,24,965,30,22.71,
05.08.21 09:45:11,28.3,193.31,208.23,204.89,201.23,181.26,204.89,200.57,192.65,185.8,193.64,194.95,204.56,187.75,204.23,197.92,194.62,187.1,194.95,199.91,205.23,187.1,196.27,197.92,203.23,,24,965,30,22.71,
05.08.21 09:45:26,28.55,193.31,207.9,205.23,201.56,180.94,204.89,200.24,192.65,185.8,193.31,194.62,205.23,187.75,204.23,197.59,194.3,187.1,194.95,199.91,204.89,187.1,195.94,198.25,202.89,,24,965,30,22.71,
05.08.21 09:45:41,28.8,193.31,208.23,204.89,201.56,180.94,205.23,200.24,192.65,185.8,193.31,194.95,205.23,188.07,204.23,197.59,194.62,186.77,195.28,199.91,205.23,187.1,195.94,198.25,203.23,,24,965,30,22.71,
05.08.21 09:45:56,29.05,192.98,207.9,204.89,201.23,180.94,204.56,199.91,192,185.15,193.31,194.62,204.56,187.42,203.23,197.26,193.64,186.45,194.62,199.24,204.23,186.45,196.27,197.59,202.89,,24,965,30,22.71,
05.08.21 09:46:11,29.3,192.65,207.56,204.89,200.9,180.29,204.23,199.58,191.67,184.82,192.65,194.3,204.23,187.1,203.89,197.26,193.64,186.12,194.62,199.91,204.56,186.77,196.27,197.59,202.56,,24,965,30,22.71,
05.08.21 09:46:26,29.55,192.33,208.23,204.89,200.9,180.29,204.89,199.91,192,185.15,193.31,194.3,204.89,187.1,203.56,197.59,193.97,186.12,194.3,199.58,204.23,186.45,196.27,197.59,203.23,,24,965,30,22.71,
05.08.21 09:46:41,29.8,192.98,208.57,205.23,201.56,180.29,204.89,200.24,192,184.82,193.31,194.62,204.89,187.42,203.89,197.59,194.3,186.77,194.62,199.91,204.89,186.45,196.27,197.92,203.23,,24,965,30,22.71,
05.08.21 09:46:56,30.05,192.33,207.23,204.89,200.9,179.97,204.23,199.58,191.67,184.5,192,193.97,204.56,186.45,203.56,197.26,193.64,185.8,193.97,199.24,204.23,185.8,195.61,197.59,202.89,,24,965,30,22.71,
05.08.21 09:47:11,30.3,192.33,208.23,204.89,200.9,179.97,204.56,199.91,192,184.17,192.98,193.97,203.89,187.42,203.89,196.93,193.97,186.12,194.62,199.58,204.56,186.12,196.27,197.92,203.23,,24,965,30,22.71,
05.08.21 09:47:26,30.55,192.65,207.9,205.23,201.56,179.64,204.56,199.91,192,184.5,192.98,194.3,204.56,187.1,204.23,197.26,194.3,186.12,194.3,200.24,204.89,186.12,196.27,197.92,203.23,,24,965,30,22.71,
05.08.21 09:47:41,30.8,190.03,205.23,203.23,199.24,177.07,202.23,198.25,190.36,181.9,190.03,192.33,202.89,185.15,201.56,196.27,192.33,183.2,191.67,197.92,203.23,183.85,193.64,195.94,201.56,,24,965,30,22.69,
05.08.21 09:47:56,31.05,192.33,208.23,205.23,201.23,179.64,204.89,200.24,192,183.85,192.33,193.97,204.56,186.77,203.89,196.93,193.97,185.8,193.97,199.58,204.89,186.12,195.61,197.92,203.23,,24,965,30,22.69,
05.08.21 09:48:11,31.3,192.33,207.9,205.23,201.23,179.32,204.56,199.91,191.34,183.85,192.65,193.97,204.56,186.77,204.23,197.26,193.31,185.15,193.97,199.58,204.56,185.47,195.94,197.59,202.89,,24,965,30,22.71,
05.08.21 09:48:26,31.55,192.33,207.9,204.89,200.57,179,204.23,200.24,191.67,183.2,192.65,193.97,204.56,186.45,203.89,197.26,193.64,184.82,193.97,199.24,204.23,185.8,195.94,197.59,203.23,,24,965,30,22.71,
05.08.21 09:48:41,31.8,192.65,208.23,205.56,200.9,179,205.23,200.24,192.33,183.85,192.98,194.62,204.56,187.1,204.23,197.92,193.97,185.47,194.62,199.91,204.89,186.12,196.6,197.92,203.23,,24,965,30,22.69,
05.08.21 09:48:56,32.05,192.33,207.9,205.23,201.56,178.68,204.56,199.58,191.67,183.2,192.65,193.97,203.89,186.77,203.56,197.26,193.31,184.82,193.97,199.58,204.56,185.8,195.94,197.59,202.89,,24,965,30,22.71,
05.08.21 09:49:11,32.3,192,208.23,204.89,200.9,178.36,204.23,200.24,191.67,183.52,192.98,193.64,204.56,186.45,204.23,196.93,193.64,184.82,193.64,199.91,204.89,185.47,195.94,197.26,203.23,,24,965,30,22.69,
05.08.21 09:49:26,32.55,192,208.23,205.23,200.9,178.36,204.56,199.91,192,183.2,192.33,193.64,204.56,186.77,204.23,197.59,193.31,184.82,194.3,199.91,204.89,185.8,195.94,197.59,203.23,,24,965,30,22.71,
05.08.21 09:49:41,32.8,191.67,207.56,204.89,200.24,178.03,203.89,199.58,191.34,182.88,192.33,193.31,204.23,186.12,203.56,195.94,192.98,184.17,193.64,199.58,204.56,185.15,195.28,197.26,203.23,,24,965,30,22.69,
05.08.21 09:49:56,33.05,192,207.9,204.89,200.57,178.03,204.23,199.91,191.34,182.55,192.65,193.97,204.23,185.8,203.89,196.93,193.31,184.17,193.64,199.58,204.23,184.82,195.28,196.93,202.56,,24,965,30,22.69,
05.08.21 09:50:12,33.32,192,207.9,205.23,200.9,177.71,204.23,199.91,191.34,182.88,192.65,193.97,204.23,186.12,203.89,197.26,192.98,183.85,193.64,199.58,204.89,185.47,195.61,196.93,203.23,,24,965,30,22.69,
05.08.21 09:50:27,33.57,192,207.9,205.23,200.9,177.39,204.23,199.91,191.34,182.88,192.33,193.64,204.56,186.12,203.89,197.26,193.31,184.17,193.31,199.58,204.23,185.15,195.61,196.93,203.23,,24,965,30,22.69,
05.08.21 09:50:42,33.82,192,208.23,205.23,200.9,177.39,203.56,199.58,191.34,182.23,192.33,193.64,203.89,185.8,203.23,197.26,192.98,183.52,193.31,199.58,204.56,184.82,195.28,197.26,203.23,,24,965,30,22.71,
05.08.21 09:50:57,34.07,192,208.23,205.23,201.23,177.71,204.23,199.91,191.34,182.88,192.65,193.97,204.23,186.45,203.89,197.26,193.31,184.17,193.97,199.91,204.56,185.15,195.94,197.59,203.56,,24,965,30,22.69,
05.08.21 09:51:12,34.32,191.34,207.56,205.23,200.24,176.75,204.23,199.58,191.34,181.9,192,193.31,203.56,185.47,203.89,196.6,192.98,183.2,193.64,199.58,203.89,184.82,195.61,196.6,202.89,,24,965,30,22.69,
05.08.21 09:51:27,34.57,191.34,207.9,204.89,200.57,176.75,204.23,199.91,191.34,181.9,191.67,193.31,204.23,185.47,203.56,196.6,192.98,182.88,193.31,199.24,204.23,185.15,195.61,196.93,202.89,,24,965,30,22.69,
05.08.21 09:51:42,34.82,191.34,207.56,204.56,201.23,176.43,203.89,199.58,190.69,181.9,191.67,193.31,204.23,185.15,203.89,196.93,192.98,182.88,193.31,199.24,204.23,184.5,194.62,196.6,202.89,,24,965,30,22.71,
05.08.21 09:51:57,35.07,191.67,208.23,205.56,200.9,176.75,204.89,199.91,191.67,181.9,192.33,193.97,204.23,185.8,203.89,196.93,193.31,183.2,193.64,199.58,204.23,184.82,195.61,197.59,203.23,,24,965,30,22.69,
05.08.21 09:52:12,35.32,191.34,208.23,205.23,200.9,176.43,203.56,199.58,191.01,181.58,192,193.31,204.23,185.47,203.56,196.27,192.98,182.88,193.31,199.24,204.23,183.85,195.61,196.93,202.56,,24,965,30,22.69,
05.08.21 09:52:27,35.57,191.34,207.56,204.89,200.57,176.11,204.23,199.91,191.01,180.94,192,193.64,203.89,185.15,204.23,196.27,192.65,182.88,192.98,199.58,204.56,184.17,194.95,196.6,203.23,,24,965,30,22.69,
05.08.21 09:52:42,35.82,191.01,207.9,204.89,200.9,176.11,203.89,199.58,191.01,181.58,191.67,193.31,203.56,185.15,203.56,196.27,192.65,182.55,192.98,199.24,204.23,183.85,195.28,196.6,202.89,,24,965,30,22.69,
05.08.21 09:52:57,36.07,191.01,207.56,204.89,200.9,175.46,204.23,199.58,190.36,180.94,191.67,192.98,203.89,184.82,203.56,196.27,192.65,182.23,192.65,199.24,204.23,183.85,194.95,196.27,202.89,,24,965,30,22.69,
05.08.21 09:53:12,36.32,191.34,208.23,205.56,201.23,175.46,204.56,199.91,190.69,181.26,191.67,193.31,203.89,185.47,203.89,196.93,192.98,182.55,193.31,199.91,204.56,184.17,195.61,197.26,203.23,,24,965,30,22.69,
05.08.21 09:53:27,36.57,191.34,207.9,205.23,201.23,175.79,203.89,199.58,191.01,180.61,191.01,193.64,203.89,185.15,203.89,196.6,192.65,182.55,192.98,199.24,204.89,183.85,195.61,196.93,203.23,,24,965,30,22.69,
05.08.21 09:53:42,36.82,191.34,207.9,204.89,200.9,175.46,203.56,199.24,190.69,180.61,192,193.31,203.56,185.15,203.89,196.6,192.65,182.23,193.31,199.24,204.23,183.85,195.28,196.93,203.56,,24,965,30,22.69,
05.08.21 09:53:57,37.07,190.69,207.9,204.89,200.9,174.82,203.89,199.58,190.36,179.97,191.67,193.31,203.89,184.82,203.89,195.94,192,181.9,192.98,199.58,204.23,183.85,194.95,196.93,202.89,,24,965,30,22.69,
05.08.21 09:54:12,37.32,191.01,208.23,205.23,201.23,175.14,204.23,199.58,190.69,180.61,191.67,193.64,203.89,185.15,204.23,196.6,192.98,182.23,192.98,199.58,204.56,183.85,194.95,196.93,203.23,,24,965,30,22.69,
05.08.21 09:54:27,37.57,190.69,207.9,204.89,200.57,174.5,203.56,199.91,190.69,180.29,191.67,193.31,203.89,184.5,203.89,196.6,192.33,181.9,192.98,199.24,204.23,183.85,194.62,196.6,203.23,,24,965,30,22.69,
05.08.21 09:54:42,37.82,191.01,207.9,204.89,200.9,174.18,203.89,200.24,190.36,180.29,191.67,193.31,203.89,184.82,203.56,196.27,192.33,182.23,192.98,199.24,203.89,183.52,195.28,196.6,203.23,,24,965,30,22.69,
05.08.21 09:54:57,38.07,191.01,208.23,205.23,200.9,174.82,204.23,199.24,190.36,180.61,192,193.64,203.89,184.82,203.89,196.27,192.33,182.23,192.98,199.91,203.89,183.52,195.28,196.93,203.89,,24,965,30,22.69,
05.08.21 09:55:12,38.32,190.69,207.9,204.89,200.9,173.54,203.89,199.58,190.36,179.97,191.34,192.98,203.89,184.17,203.89,196.27,192,181.58,192.33,199.24,203.89,183.52,194.95,196.27,203.23,,24,965,30,22.69,
05.08.21 09:55:27,38.57,190.69,208.23,204.89,201.23,173.86,203.56,199.91,190.69,179.97,191.34,193.31,203.89,184.17,204.23,196.27,192,181.58,192.98,199.58,204.23,182.88,194.62,196.27,203.23,,24,965,30,22.69,
05.08.21 09:55:42,38.82,190.69,207.9,204.89,201.56,173.86,203.56,199.58,190.36,179.32,191.67,192.98,203.89,183.85,203.56,195.94,192.33,181.9,192.65,199.24,203.89,183.2,194.95,196.27,203.23,,24,965,30,22.69,
05.08.21 09:55:57,39.07,190.36,207.56,204.56,200.9,173.54,203.89,198.91,189.71,179.32,191.34,192.98,203.89,183.52,203.89,196.27,192,181.58,192.33,198.91,203.89,182.55,194.62,196.27,203.23,,24,965,30,22.69,
05.08.21 09:56:12,39.32,190.36,207.56,205.23,200.9,172.9,203.89,199.24,190.03,179,191.34,192.98,203.89,183.85,203.89,196.27,192.33,181.26,192.33,199.24,204.56,182.55,194.3,196.27,203.23,,24,965,30,22.69,
05.08.21 09:56:27,39.57,190.69,207.9,204.89,200.9,173.22,203.56,199.91,190.36,179.32,191.01,193.31,203.89,183.85,203.89,196.6,192,181.58,192.65,199.58,204.56,182.55,194.3,196.6,202.89,,24,965,30,22.69,
05.08.21 09:56:42,39.82,190.36,208.23,205.23,200.9,172.9,203.89,200.24,190.36,179,191.01,192.98,203.89,183.85,203.56,195.94,192,181.58,192.65,199.58,204.23,182.55,194.95,196.27,202.89,,24,965,30,22.69,
05.08.21 09:56:57,40.07,190.36,207.9,205.23,200.9,172.59,203.23,199.24,189.71,179,191.01,192.98,203.89,183.52,203.56,195.94,192,181.58,192.33,199.24,204.56,182.55,194.95,196.6,203.23,,24,965,30,22.69,
05.08.21 09:57:12,40.32,190.36,208.23,205.56,201.56,172.9,203.89,199.58,190.36,179,190.69,192.98,204.23,183.85,204.23,196.27,192,181.58,192.65,199.24,204.23,182.55,194.95,196.6,203.23,,24,965,30,22.68,
05.08.21 09:57:27,40.57,190.36,208.23,205.23,201.23,171.95,203.23,199.58,189.71,178.36,191.01,192.65,204.23,183.2,203.89,195.94,192,181.58,192.33,199.24,204.56,182.23,194.62,196.6,203.23,,24,965,30,22.68,
05.08.21 09:57:42,40.82,190.36,207.56,205.23,201.56,172.59,203.23,199.91,189.71,178.36,190.69,192.65,204.23,183.52,204.23,195.94,191.67,181.26,192,199.58,204.23,182.23,194.95,196.27,203.23,,24,965,30,22.69,
05.08.21 09:57:57,41.07,190.03,207.56,204.89,200.9,171.95,203.89,199.58,190.03,178.03,190.69,192.33,203.89,182.55,203.89,195.94,191.67,181.26,192,198.91,203.89,182.55,194.62,195.94,203.23,,24,965,30,22.68,
05.08.21 09:58:12,41.32,190.03,207.56,205.23,200.57,171.63,203.56,199.24,189.71,178.03,190.69,192.33,203.23,183.2,203.89,195.94,191.34,180.94,192,198.91,203.89,181.58,194.62,195.94,202.89,,24,965,30,22.69,
05.08.21 09:58:27,41.57,189.71,207.56,205.23,200.9,171.63,203.56,199.24,189.38,177.71,190.36,192.65,203.89,182.88,203.89,195.94,191.34,180.94,192,199.24,203.89,181.9,194.3,195.94,203.23,,24,965,30,22.69,
05.08.21 09:58:42,41.82,189.71,207.9,204.89,200.57,170.99,203.23,199.58,189.38,177.39,190.03,192.33,203.56,182.88,203.56,195.61,191.34,180.61,191.67,199.24,203.56,181.58,194.3,195.94,202.89,,24,965,30,22.69,
05.08.21 09:58:57,42.07,190.03,207.9,204.89,200.57,171.31,203.56,199.58,189.05,177.39,190.69,192.33,203.56,182.88,203.89,195.94,191.01,180.94,191.67,199.24,203.89,181.26,194.3,196.27,203.23,,24,965,30,22.69,
05.08.21 09:59:12,42.32,189.71,207.9,205.23,200.57,170.99,203.56,199.58,189.71,177.07,190.69,191.67,203.89,182.55,203.89,195.61,191.34,180.61,191.67,198.91,203.89,181.58,194.62,195.94,202.89,,24,965,30,22.69,
05.08.21 09:59:27,42.57,189.71,207.56,205.23,200.9,170.35,203.23,199.24,189.38,177.07,190.36,192,203.56,182.55,204.23,195.61,191.34,180.29,191.34,198.91,203.89,181.9,194.3,196.27,203.23,,24,965,30,22.69,
05.08.21 09:59:42,42.82,189.38,208.23,204.89,200.57,170.67,203.56,199.58,189.38,177.07,190.03,192.33,203.89,182.88,203.89,195.94,191.01,180.61,191.67,199.24,203.56,181.26,194.3,195.94,203.23,,24,965,30,22.69,
05.08.21 09:59:57,43.07,189.71,207.9,205.23,200.24,170.67,203.56,199.24,188.73,176.75,190.36,191.34,203.56,182.23,203.89,195.61,191.01,180.61,191.67,198.91,204.23,181.58,193.97,195.94,203.23,,24,965,30,22.69,
05.08.21 10:00:12,43.32,189.05,207.56,204.89,200.57,170.35,203.23,198.91,189.05,176.11,190.03,192,203.23,181.9,203.56,195.61,190.69,180.29,191.67,198.91,203.56,181.26,194.3,195.28,202.89,,24,965,30,22.68,
05.08.21 10:00:27,43.57,189.38,207.9,205.56,200.24,170.35,203.89,199.24,189.38,176.11,190.36,192,203.89,182.23,204.23,195.28,190.69,180.61,191.67,199.24,203.89,181.58,194.3,195.94,203.23,,24,965,30,22.69,
05.08.21 10:00:42,43.82,189.71,208.23,205.23,201.23,170.35,203.89,199.58,189.38,176.43,190.36,192.33,204.23,182.23,203.89,195.61,191.01,180.61,191.67,198.91,203.56,181.26,193.97,195.94,203.56,,24,965,30,22.69,
05.08.21 10:00:57,44.07,189.38,207.9,204.89,200.9,170.35,203.23,198.91,189.05,176.75,189.38,191.67,203.56,181.9,203.89,195.61,190.36,180.29,191.34,198.58,203.89,181.26,193.97,195.94,203.23,,24,965,30,22.69,
05.08.21 10:01:12,44.32,188.73,207.9,205.23,200.24,170.03,203.23,199.24,188.73,176.11,189.71,191.67,203.89,181.58,203.56,195.61,190.36,179.97,191.34,198.58,203.89,180.94,193.97,195.61,203.23,,24,965,30,22.69,
05.08.21 10:01:27,44.57,189.05,207.9,204.89,200.57,169.72,203.23,199.24,188.73,175.79,190.03,191.67,204.23,181.58,203.89,195.28,190.69,179.97,191.01,198.91,203.89,180.29,193.97,195.61,202.89,,24,965,30,22.69,
05.08.21 10:01:42,44.82,189.38,208.23,204.89,200.57,170.03,203.89,199.24,188.73,175.79,190.36,191.67,204.23,181.58,204.23,195.61,190.69,179.97,191.34,199.24,203.89,180.61,194.3,195.94,203.56,,24,965,30,22.69,
05.08.21 10:01:57,45.07,188.73,207.9,205.23,200.9,169.4,203.56,199.58,188.73,175.79,190.03,191.34,203.89,181.58,203.89,194.95,191.01,179.64,190.69,199.24,203.56,180.29,193.64,195.61,203.23,,24,965,30,22.69,
05.08.21 10:02:12,45.32,188.73,207.9,204.89,200.57,169.4,203.23,199.24,188.73,175.14,189.71,191.34,204.23,181.26,203.89,195.28,190.03,179.64,191.01,199.24,203.56,180.29,193.97,195.94,203.23,,24,965,30,22.69,
05.08.21 10:02:27,45.57,188.73,207.9,205.23,200.9,169.4,203.56,199.58,188.4,175.46,190.03,191.34,204.23,181.9,204.23,195.61,190.69,179.32,191.01,199.58,203.89,180.61,193.97,195.61,203.56,,24,965,30,22.69,
05.08.21 10:02:42,45.82,188.73,207.9,205.23,200.9,169.08,203.23,199.24,188.73,175.14,189.71,191.01,204.23,180.94,204.23,194.95,189.71,179.32,190.69,198.91,203.56,179.97,193.64,195.28,203.23,,24,965,30,22.69,
