Measurement Name :,20210805_Run2_WildTypeTest,,Generated On :,"05/08/2021, 10:53:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
05.08.21 10:45:28,25.28,188.07,186.45,224.49,221.41,204.56,180.61,220.39,225.52,172.9,201.23,222.78,223.46,167.49,180.94,218.69,220.39,189.05,174.18,221.41,222.44,201.56,178.68,223.8,221.41,,24,965,30,22.8,
05.08.21 10:45:43,25.53,188.4,186.77,223.46,221.07,205.23,180.94,219.37,225.52,173.54,200.9,221.75,222.78,167.49,180.61,219.03,220.73,189.05,174.18,220.73,221.75,201.56,179.32,222.78,221.75,,24,965,30,22.8,
05.08.21 10:45:59,25.8,187.75,186.12,224.15,220.39,203.89,179.97,220.39,225.52,172.59,201.23,222.1,223.46,166.23,181.26,218.69,220.05,188.73,173.54,221.41,222.78,201.9,179.64,223.12,221.07,,24,965,30,22.8,
05.08.21 10:46:14,26.05,187.1,185.8,224.83,220.39,204.23,181.26,220.05,224.49,172.9,201.23,221.75,222.78,167.18,181.26,219.03,220.39,188.4,174.18,220.73,222.1,201.23,179,222.44,221.07,,24,965,30,22.8,
05.08.21 10:46:29,26.3,186.77,186.45,224.49,221.41,204.89,180.29,219.71,225.52,173.54,200.24,221.75,223.12,167.18,180.29,219.37,220.39,188.73,173.86,220.73,221.75,201.23,179,223.46,221.75,,24,965,30,22.8,
05.08.21 10:46:44,26.55,187.1,185.8,223.8,220.73,204.23,180.61,219.71,225.17,172.9,201.23,222.1,223.12,165.91,180.61,218.69,219.71,188.07,173.86,220.73,222.1,201.9,178.36,222.1,221.07,,24,965,30,22.8,
05.08.21 10:46:59,26.8,187.42,185.8,224.15,220.05,204.56,180.61,220.39,225.52,172.9,201.23,221.41,222.78,166.54,179.97,218.69,219.71,189.05,173.54,220.73,222.78,201.9,178.68,223.12,221.75,,24,965,30,22.8,
05.08.21 10:47:14,27.05,187.1,186.12,223.8,220.73,205.23,180.29,219.71,225.17,172.59,199.58,221.75,222.78,166.54,179.97,218.01,219.71,188.07,172.59,221.07,222.1,201.9,179.32,222.78,220.73,,24,965,30,22.82,
05.08.21 10:47:29,27.3,187.75,186.12,225.17,221.41,204.23,180.61,220.73,225.17,173.22,199.91,222.1,222.78,165.59,180.29,218.69,220.05,188.4,173.86,221.07,222.44,201.56,180.29,223.12,221.07,,24,965,30,22.8,
05.08.21 10:47:44,27.55,187.75,186.12,223.8,221.75,204.89,180.29,220.05,225.52,173.22,199.91,222.44,222.1,165.28,180.61,218.35,220.05,188.73,173.22,220.73,222.78,200.9,178.68,223.46,221.07,,24,965,30,22.8,
05.08.21 10:47:59,27.8,187.1,185.47,224.15,221.41,203.89,179.97,220.39,224.83,173.22,200.24,222.1,222.1,166.23,179.64,219.03,219.71,188.4,172.9,221.41,222.44,201.23,178.68,222.78,220.73,,24,965,30,22.8,
05.08.21 10:48:14,28.05,187.42,186.45,224.49,221.75,204.89,179.64,220.05,225.17,172.9,200.24,222.44,222.44,166.23,179.64,218.35,220.39,189.05,173.22,221.07,222.44,200.9,178.36,223.12,220.39,,24,965,30,22.8,
05.08.21 10:48:29,28.3,187.1,185.47,224.49,221.41,204.23,180.29,219.71,224.83,172.9,200.9,221.75,223.12,165.91,179.64,218.69,220.05,189.05,173.22,220.73,222.44,200.9,177.71,223.12,221.07,,24,965,30,22.8,
05.08.21 10:48:44,28.55,186.77,185.47,223.8,221.75,204.23,178.36,219.37,225.52,172.27,200.57,221.75,223.46,164.96,179.64,218.35,219.03,188.4,173.22,221.07,222.44,200.57,179,222.78,220.73,,24,965,30,22.8,
05.08.21 10:48:59,28.8,187.1,185.47,225.17,221.07,204.56,179.32,220.73,225.52,173.22,200.57,221.41,223.46,164.96,179.32,219.03,220.05,188.73,172.27,221.41,221.75,201.23,179.32,222.78,221.41,,24,965,30,22.8,
05.08.21 10:49:14,29.05,187.1,185.8,224.83,221.07,203.89,179,220.73,225.86,172.9,200.57,222.1,223.12,165.28,179.97,219.03,220.05,188.07,172.9,220.73,222.44,201.56,178.36,223.12,221.41,,24,965,30,22.8,
05.08.21 10:49:29,29.3,186.45,185.8,224.49,221.07,204.56,179.64,220.73,225.17,171.63,201.23,222.1,222.78,165.28,179.97,219.03,220.39,188.4,172.9,221.07,222.1,200.57,177.71,222.78,221.75,,24,965,30,22.8,
05.08.21 10:49:44,29.55,187.42,185.8,224.83,221.75,204.23,179,219.37,225.52,172.59,200.24,222.44,223.46,165.59,179,218.69,219.71,187.75,172.59,221.07,221.75,200.9,177.71,222.78,221.75,,24,965,30,22.8,
05.08.21 10:49:59,29.8,187.42,186.12,223.8,221.07,204.56,179,220.39,225.17,172.27,200.9,221.41,222.78,164.64,179.32,219.37,220.39,188.4,172.59,220.39,221.75,201.23,178.68,223.12,221.07,,24,965,30,22.78,
05.08.21 10:50:14,30.05,187.75,185.15,224.15,221.75,204.23,179.32,220.73,224.49,171.95,200.9,222.1,223.12,164.64,179.32,219.71,219.71,188.4,172.9,220.73,221.75,201.56,178.03,223.8,221.41,,24,965,30,22.78,
05.08.21 10:50:29,30.3,187.75,184.5,223.12,221.41,204.56,178.36,220.05,224.83,171.63,199.91,221.41,222.44,164.96,178.03,219.03,220.05,187.75,172.59,221.07,222.44,200.9,177.71,222.44,220.73,,24,965,30,22.8,
05.08.21 10:50:44,30.55,187.42,184.82,224.15,221.07,204.23,179,220.39,225.52,171.95,200.9,220.73,222.78,164.01,178.68,218.01,220.05,188.07,171.95,221.07,222.78,200.57,177.07,223.12,221.07,,24,965,30,22.8,
05.08.21 10:50:59,30.8,187.75,185.15,224.15,220.73,204.23,178.03,219.71,224.83,171.95,200.24,221.41,222.44,164.01,178.03,218.35,220.05,186.77,172.59,220.39,222.44,200.57,177.71,223.46,221.41,,24,965,30,22.8,
05.08.21 10:51:14,31.05,186.45,185.15,224.15,221.07,204.23,178.03,220.39,225.52,171.31,199.91,221.07,222.44,163.7,178.36,219.37,220.05,187.75,172.27,220.73,222.78,200.9,178.03,222.1,220.39,,24,965,30,22.8,
05.08.21 10:51:29,31.3,188.4,185.8,224.83,221.75,204.89,178.36,220.05,225.52,171.95,199.91,221.75,222.78,163.7,178.68,219.37,220.05,187.75,171.95,222.1,221.75,201.23,177.07,222.78,221.07,,24,965,30,22.8,
05.08.21 10:51:44,31.55,187.1,184.82,224.15,221.41,205.23,177.71,220.05,225.52,171.31,199.91,221.75,223.46,163.7,179,218.69,219.71,187.75,172.27,221.07,222.44,201.23,177.07,223.12,221.41,,24,965,30,22.8,
05.08.21 10:51:59,31.8,187.42,185.15,224.15,221.07,203.56,177.71,220.05,225.17,171.31,200.9,222.44,222.78,163.07,178.36,218.69,219.71,187.42,172.27,221.07,221.75,201.23,177.07,222.44,221.07,,24,965,30,22.8,
05.08.21 10:52:14,32.05,187.75,185.15,224.49,222.1,203.89,178.03,220.39,225.52,170.99,200.57,222.1,223.46,163.7,177.71,219.03,219.71,187.42,173.22,221.07,222.1,201.23,177.71,222.44,221.75,,24,965,30,22.8,
05.08.21 10:52:29,32.3,187.75,185.15,224.15,220.73,204.89,177.71,220.73,225.17,170.99,199.91,221.41,223.12,163.38,178.68,219.37,220.05,187.42,172.27,221.07,222.78,200.9,177.39,222.78,221.07,,24,965,30,22.8,
05.08.21 10:52:44,32.55,187.75,185.15,224.15,221.07,204.23,177.39,219.71,225.86,170.67,200.9,221.07,223.46,163.38,178.36,219.37,220.73,186.12,172.59,221.07,221.75,201.23,177.39,222.78,221.07,,24,965,30,22.8,
05.08.21 10:52:59,32.8,188.73,184.82,224.83,221.07,204.56,177.71,220.05,225.52,170.99,199.91,221.75,222.78,162.44,177.39,218.01,220.05,186.77,172.9,221.41,222.78,201.56,176.43,223.8,221.75,,24,965,30,22.8,
05.08.21 10:53:14,33.05,188.07,184.82,224.49,220.73,204.56,177.07,219.71,225.17,170.99,200.24,220.73,223.12,162.75,178.03,218.35,220.73,186.77,172.59,221.07,222.44,200.24,176.75,223.12,221.07,,24,965,30,22.8,
05.08.21 10:53:29,33.3,187.75,185.15,224.49,221.41,203.56,176.43,220.05,225.52,170.99,200.57,221.41,223.46,162.75,177.71,218.69,220.05,186.77,172.27,221.07,222.1,201.23,177.07,222.78,222.1,,24,965,30,22.8,
