#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Host Connected,Button Down,Button Up,End of File
253,01/28/2021 11:50:00,4.20,97,,,,
254,01/28/2021 12:00:00,4.24,92,,,,
255,01/28/2021 12:10:00,4.20,102,,,,
256,01/28/2021 12:20:00,4.20,96,,,,
257,01/28/2021 12:30:00,4.20,91,,,,
258,01/28/2021 12:40:00,4.24,99,,,,
259,01/28/2021 12:50:00,4.16,96,,,,
260,01/28/2021 13:00:00,4.16,121,,,,
261,01/28/2021 13:10:00,4.16,115,,,,
262,01/28/2021 13:20:00,4.12,129,,,,
263,01/28/2021 13:30:00,4.07,134,,,,
264,01/28/2021 13:40:00,4.12,126,,,,
265,01/28/2021 13:50:00,4.07,117,,,,
266,01/28/2021 14:00:00,4.03,108,,,,
267,01/28/2021 14:10:00,4.07,94,,,,
268,01/28/2021 14:20:00,4.03,92,,,,
269,01/28/2021 14:30:00,3.99,90,,,,
270,01/28/2021 14:40:00,3.99,69,,,,
271,01/28/2021 14:50:00,3.94,71,,,,
272,01/28/2021 15:00:00,3.94,89,,,,
273,01/28/2021 15:10:00,3.90,68,,,,
274,01/28/2021 15:20:00,3.90,61,,,,
275,01/28/2021 15:30:00,3.86,48,,,,
276,01/28/2021 15:40:00,3.86,48,,,,
277,01/28/2021 15:50:00,3.90,42,,,,
278,01/28/2021 16:00:00,3.82,31,,,,
279,01/28/2021 16:10:00,3.90,26,,,,
280,01/28/2021 16:20:00,3.82,18,,,,
281,01/28/2021 16:30:00,3.77,14,,,,
282,01/28/2021 16:40:00,3.82,9,,,,
283,01/28/2021 16:50:00,3.77,4,,,,
284,01/28/2021 17:00:00,3.69,2,,,,
285,01/28/2021 17:10:00,3.69,1,,,,
286,01/28/2021 17:20:00,3.69,0,,,,
287,01/28/2021 17:30:00,3.73,0,,,,
288,01/28/2021 17:40:00,3.64,0,,,,
289,01/28/2021 17:50:00,3.69,0,,,,
290,01/28/2021 18:00:00,3.64,0,,,,
291,01/28/2021 18:10:00,3.64,0,,,,
292,01/28/2021 18:20:00,3.60,0,,,,
293,01/28/2021 18:30:00,3.56,0,,,,
294,01/28/2021 18:40:00,3.56,0,,,,
295,01/28/2021 18:50:00,3.56,0,,,,
296,01/28/2021 19:00:00,3.56,0,,,,
297,01/28/2021 19:10:00,3.52,0,,,,
298,01/28/2021 19:20:00,3.47,0,,,,
299,01/28/2021 19:30:00,3.52,0,,,,
300,01/28/2021 19:40:00,3.47,0,,,,
301,01/28/2021 19:50:00,3.47,0,,,,
302,01/28/2021 20:00:00,3.47,0,,,,
303,01/28/2021 20:10:00,3.56,0,,,,
304,01/28/2021 20:20:00,3.52,0,,,,
305,01/28/2021 20:30:00,3.43,0,,,,
306,01/28/2021 20:40:00,3.56,0,,,,
307,01/28/2021 20:50:00,3.52,0,,,,
308,01/28/2021 21:00:00,3.60,0,,,,
309,01/28/2021 21:10:00,3.73,0,,,,
310,01/28/2021 21:20:00,3.82,0,,,,
311,01/28/2021 21:30:00,3.90,0,,,,
312,01/28/2021 21:40:00,3.99,0,,,,
313,01/28/2021 21:50:00,3.94,0,,,,
314,01/28/2021 22:00:00,3.99,0,,,,
315,01/28/2021 22:10:00,4.03,0,,,,
316,01/28/2021 22:20:00,4.07,0,,,,
317,01/28/2021 22:30:00,4.03,0,,,,
318,01/28/2021 22:40:00,3.94,0,,,,
319,01/28/2021 22:50:00,3.90,0,,,,
320,01/28/2021 23:00:00,3.77,0,,,,
321,01/28/2021 23:10:00,3.77,0,,,,
322,01/28/2021 23:20:00,3.73,0,,,,
323,01/28/2021 23:30:00,3.69,0,,,,
324,01/28/2021 23:40:00,3.60,0,,,,
325,01/28/2021 23:50:00,3.56,0,,,,
326,01/29/2021 00:00:00,3.52,0,,,,
327,01/29/2021 00:10:00,3.43,0,,,,
328,01/29/2021 00:20:00,3.39,0,,,,
329,01/29/2021 00:30:00,3.34,0,,,,
330,01/29/2021 00:40:00,3.34,0,,,,
331,01/29/2021 00:50:00,3.30,0,,,,
332,01/29/2021 01:00:00,3.17,0,,,,
333,01/29/2021 01:10:00,3.21,0,,,,
334,01/29/2021 01:20:00,3.09,0,,,,
335,01/29/2021 01:30:00,3.04,0,,,,
336,01/29/2021 01:40:00,3.00,0,,,,
337,01/29/2021 01:50:00,2.96,0,,,,
338,01/29/2021 02:00:00,2.91,0,,,,
339,01/29/2021 02:10:00,2.87,0,,,,
340,01/29/2021 02:20:00,2.79,0,,,,
341,01/29/2021 02:30:00,2.74,0,,,,
342,01/29/2021 02:40:00,2.66,0,,,,
343,01/29/2021 02:50:00,2.74,0,,,,
344,01/29/2021 03:00:00,2.61,0,,,,
345,01/29/2021 03:10:00,2.61,0,,,,
346,01/29/2021 03:20:00,2.57,0,,,,
347,01/29/2021 03:30:00,2.61,0,,,,
348,01/29/2021 03:40:00,2.53,0,,,,
349,01/29/2021 03:50:00,2.53,0,,,,
350,01/29/2021 04:00:00,2.57,0,,,,
351,01/29/2021 04:10:00,2.49,0,,,,
352,01/29/2021 04:20:00,2.44,0,,,,
353,01/29/2021 04:30:00,2.44,0,,,,
354,01/29/2021 04:40:00,2.40,0,,,,
355,01/29/2021 04:50:00,2.36,0,,,,
356,01/29/2021 05:00:00,2.40,0,,,,
357,01/29/2021 05:10:00,2.40,0,,,,
358,01/29/2021 05:20:00,2.40,0,,,,
359,01/29/2021 05:30:00,2.44,0,,,,
360,01/29/2021 05:40:00,2.44,0,,,,
361,01/29/2021 05:50:00,2.40,0,,,,
362,01/29/2021 06:00:00,2.40,0,,,,
363,01/29/2021 06:10:00,2.44,0,,,,
364,01/29/2021 06:20:00,2.40,0,,,,
365,01/29/2021 06:30:00,2.44,0,,,,
366,01/29/2021 06:40:00,2.49,0,,,,
367,01/29/2021 06:50:00,2.53,0,,,,
368,01/29/2021 07:00:00,2.53,2,,,,
369,01/29/2021 07:10:00,2.61,4,,,,
370,01/29/2021 07:20:00,2.70,6,,,,
371,01/29/2021 07:30:00,2.79,9,,,,
372,01/29/2021 07:40:00,2.87,13,,,,
373,01/29/2021 07:50:00,2.96,15,,,,
374,01/29/2021 08:00:00,3.13,16,,,,
375,01/29/2021 08:10:00,3.26,20,,,,
376,01/29/2021 08:20:00,3.34,24,,,,
377,01/29/2021 08:30:00,3.47,26,,,,
378,01/29/2021 08:40:00,3.60,28,,,,
379,01/29/2021 08:50:00,3.77,32,,,,
380,01/29/2021 09:00:00,4.46,166,,,,
381,01/29/2021 09:10:00,7.81,39,,,,
382,01/29/2021 09:20:00,9.95,39,,,,
383,01/29/2021 09:30:00,11.28,39,,,,
384,01/29/2021 09:40:00,12.10,39,,,,
385,01/29/2021 09:50:00,12.61,36,,,,
386,01/29/2021 10:00:00,13.25,43,,,,
387,01/29/2021 10:10:00,13.38,60,,,,
388,01/29/2021 10:19:38,,,,Logged,Logged,
389,01/29/2021 10:19:49,,,Logged,,,
390,01/29/2021 10:20:00,14.75,37,,,,
391,01/29/2021 10:20:21,,,,Logged,Logged,
392,01/29/2021 10:20:21,,,,Logged,Logged,
393,01/29/2021 10:20:21,,,,Logged,Logged,
394,01/29/2021 10:20:23,,,Logged,,,Logged
